<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Agonnay 17001=17397
Poursay-Garnaud 17288
Préguillac 17289
Prignac 17290
Puilboreau 17291
Puy-du-Lac 17292
Puyravault 17293
Puyrolland 17294
Réaux 17295
Rétaud 17296
Rioux 17298
Rivedoux-Plage 17297
Rochefort 17299
Romazières 17301
Romegoux 17302
Rouffiac 17304
Rouffignac 17305
Royan 17306
Sablonceaux 17307
Saint-Agnant 17308
Saint-Aigulin 17309
Saint-André-de-Lidon 17310
Saint-Augustin 17311
Saint-Bonnet-sur-Gironde 17312
Saint-Bris-des-Bois 17313
Saint-Césaire 17314
Saint-Christophe 17315
Saint-Ciers-Champagne 17316
Saint-Ciers-du-Taillon 17317
Saint-Clément-des-Baleines 17318
Saint-Coutant-le-Grand 17320
Saint-Crépin 17321
Saint-Cyr-du-Doret 17322
Saint-Denis-d'Oléron 17323
Saint-Denis-du-Pin 17277
Saint-Dizant-du-Bois 17324
Saint-Dizant-du-Gua 17325
Saint-Eugène 17326
Saint-Félix 17327
Saint-Fort-sur-Gironde 17328
Saint-Froult 17329
Saint-Genis-de-Saintonge 17331
Saint-Georges-Antignac 17332
Saint-Georges-d'Oléron 17337
Saint-Georges-de-Didonne 17333
Saint-Georges-de-Longuepierre 17334
Saint-Georges-des-Agoûts 17335
Saint-Georges-des-Coteaux 17336
Saint-Georges-du-Bois 17338
Saint-Germain-de-Lusignan 17339
Saint-Germain-de-Marencennes 17340
Saint-Germain-de-Vibrac 17341
Saint-Germain-du-Seudre 17342
Saint-Grégoire-d'Ardennes 17343
Saint-Hilaire-de-Villefranche 17344
Saint-Hilaire-du-Bois 17345
Saint-Hippolyte 17346
Saint-Jean-d'Angély 17347
Saint-Jean-d'Angle 17348
Saint-Jean-de-Liversay 17349
Saint-Julien-de-l'Escap 17350
Saint-Just-Luzac 17351
Saint-Laurent-de-la-Barrière 17352
Saint-Laurent-de-la-Prée 17353
Saint-Léger 17354
Saint-Loup 17356
Saint-Maigrin 17357
Saint-Mandé-sur-Brédoire 17358
Saint-Mard 17359
Saint-Martial 17361
Saint-Martial-de-Mirambeau 17362
Saint-Martial-de-Vitaterne 17363
Saint-Martial-sur-Né 17364
Saint-Martin-d'Ary 17365
Saint-Martin-de-Coux 17366
Saint-Martin-de-Juillers 17367
Saint-Martin-de-la-Coudre 17368=17043
Saint-Martin-de-Ré 17369
Saint-Maurice-de-Laurençanne 17370=17454
Saint-Maurice-de-Tavernole 17371
Saint-Médard 17372
Saint-Médard-d'Aunis 17373
Saint-Nazaire-sur-Charente 17375
Saint-Ouen 17377
Saint-Ouen-d'Aunis 17376
Saint-Palais-de-Négrignac 17378
Saint-Palais-de-Phiolin 17379
Saint-Palais-sur-Mer 17380
Saint-Pardoult 17381
Saint-Pierre-d'Amilly 17382
Saint-Pierre-d'Oléron 17385
Saint-Pierre-de-Juillers 17383
Saint-Pierre-de-l'Île 17384
Saint-Pierre-du-Palais 17386
Saint-Porchaire 17387
Saint-Quantin-de-Rançanne 17388
Saint-Rogatien 17391
Saint-Romain-de-Benet 17393
Saint-Romain-sur-Gironde 17392
Saint-Saturnin-du-Bois 17394
Saint-Sauvant 17395
Saint-Sauveur-d'Aunis 17396
Saint-Savinien 17397
Saint-Seurin-d'Uzet 17399=17098
Saint-Seurin-de-Palenne 17398
Saint-Sever-de-Saintonge 17400
Saint-Séverin-sur-Boutonne 17401
Saint-Sigismond-de-Clermont 17402
Saint-Simon-de-Bordes 17403
Saint-Simon-de-Pellouaille 17404
Saint-Sorlin-de-Conac 17405
Saint-Sornin 17406
Saint-Sulpice-d'Arnoult 17408
Saint-Sulpice-de-Royan 17409
Saint-Thomas-de-Conac 17410
Saint-Trojan-les-Bains 17411
Saint-Vaize 17412
Saint-Vivien 17413
Saint-Xandre 17414
Sainte-Colombe 17319
Sainte-Gemme 17330
Sainte-Lheurine 17355
Sainte-Marie-de-Ré 17360
Sainte-Même 17374
Sainte-Radegonde 17389
Sainte-Ramée 17390
Sainte-Soulle 17407
Saintes 17415
Saleignes 17416
Salignac-de-Mirambeau 17417
Salignac-sur-Charente 17418
Salles-lès-Aulnay 17419=17024
Salles-sur-Mer 17420
Saujon 17421
Seigné 17422
Semillac 17423
Semoussac 17424
Semussac 17425
Siecq 17427
Sonnac 17428
Soubise 17429
Soubran 17430
Soulignonne 17431
Souméras 17432
Sousmoulins 17433
Surgères 17434
Taillant 17435
Taillebourg 17436
Talmont-sur-Gironde 17437
Tanzac 17438
Taugon 17439
Ternant 17440
Tesson 17441
Thaims 17442
Thairé 17443
Thénac 17444
Thézac 17445
Thors 17446
Tonnay-Boutonne 17448
Tonnay-Charente 17449
Torxé 17450
Trizay 17453
Tugéras-Saint-Maurice 17454
Vallet 17456=17240
Vandré 17457
Vanzac 17458
Varaize 17459
Varzay 17460
Vaux-sur-Mer 17461
Vénérand 17462
Vergeroux 17463
Vergné 17464
Vérines 17466
Vervant 17467
Vibrac 17468
Villars-en-Pons 17469
Villars-les-Bois 17470
Villedoux 17472
Villemorin 17473
Villeneuve-la-Comtesse 17474
Villenouvelle 17475=17474
Villexavier 17476
Villiers-Couture 17477
Vinax 17478
Virollet 17479
Virson 17480
Voissay 17481
Vouhé 17482
Yves 17483
