<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Montlouet 28266=28168
Montreuil 28267
Morainville 28268
Morancez 28269
Moriers 28270
Morvilliers 28271
Mottereau 28272
Moulhard 28273
Moutiers 28274
Néron 28275
Neuvy-en-Beauce 28276
Neuvy-en-Dunois 28277
Nogent-le-Phaye 28278
Nogent-le-Roi 28279
Nogent-le-Rotrou 28280
Nogent-sur-Eure 28281
Nonvilliers-Grandhoux 28282
Nottonville 28283
Oinville-Saint-Liphard 28284
Oinville-sous-Auneau 28285
Ollé 28286
Orgères-en-Beauce 28287
Orlu 28288
Ormoy 28289
Orrouer 28290
Ouarville 28291
Ouerre 28292
Oulins 28293
Oysonville 28294
Ozoir-le-Breuil 28295
Péronville 28296
Pézy 28297
Pierres 28298
Poinville 28300
Poisvilliers 28301
Pontgouin 28302
Poupry 28303
Prasville 28304
Pré-Saint-Évroult 28305
Pré-Saint-Martin 28306
Prouais 28307=28056
Prudemanche 28308
Prunay-le-Gillon 28309
Puiseux 28312
Réclainville 28313
Revercourt 28315
Rohaire 28316
Roinville 28317
Romilly-sur-Aigre 28318
Rouvray-Saint-Denis 28319
Rouvray-Saint-Florentin 28320
Rouvres 28321
Rueil-la-Gadelière 28322
Saint-Ange-et-Torçay 28323
Saint-Arnoult-des-Bois 28324
Saint-Aubin-des-Bois 28325
Saint-Avit-les-Guespières 28326
Saint-Bomer 28327
Saint-Chéron-des-Champs 28328=28393
Saint-Christophe 28329
Saint-Cloud-en-Dunois 28330
Saint-Denis-d'Authou 28331
Saint-Denis-des-Puits 28333
Saint-Denis-les-Ponts 28334
Saint-Éliph 28335
Saint-Éman 28336
Saint-Georges-sur-Eure 28337
Saint-Germain-la-Gâtine 28338=28034
Saint-Germain-le-Gaillard 28339
Saint-Hilaire-sur-Yerre 28340
Saint-Jean-de-Rebervilliers 28341
Saint-Jean-Pierre-Fixte 28342
Saint-Laurent-la-Gâtine 28343
Saint-Léger-des-Aubées 28344
Saint-Loup 28345=28048
Saint-Lubin-de-Cravant 28346
Saint-Lubin-de-la-Haye 28347
Saint-Lubin-des-Joncherets 28348
Saint-Lucien 28349
Saint-Luperce 28350
Saint-Maixme-Hauterive 28351
Saint-Martin-de-Nigelles 28352
Saint-Maur-sur-le-Loir 28353
Saint-Maurice-Saint-Germain 28354
Saint-Ouen-Marchefroy 28355
Saint-Pellerin 28356
Saint-Piat 28357
Saint-Prest 28358
Saint-Rémy-sur-Avre 28359
Saint-Sauveur-Marville 28360
Saint-Symphorien-le-Château 28361
Saint-Victor-de-Buthon 28362
Sainte-Gemme-Moronval 28332
Sainville 28363
Sancheville 28364
Sandarville 28365
Santeuil 28366
Santilly 28367
Saulnières 28369
Saumeray 28370
Saussay 28371
Senantes 28372
Senonches 28373
Serazereux 28374
Serville 28375
Soizé 28376
Sorel-Moussel 28377
Souancé-au-Perche 28378
Soulaires 28379
Sours 28380
Tardais 28381=28373
Terminiers 28382
Theuville 28383
Theuvy-Achères 28384=28393
Thimert-Gâtelles 28386
Thiron Gardais 28387
Thivars 28388
Thiville 28389
Tillay-le-Péneux 28390
Toury 28391
Trancrainville 28392
Tremblay-les-Villages 28393
Tréon 28394
Trizay-Coutretot-Saint-Serge 28395
Trizay-lès-Bonneval 28396
Umpeau 28397
Unverre 28398
Vacheresses-les-Basses 28399=28279
Varize 28400
Vaupillon 28401
Ver-lès-Chartres 28403
Vérigny 28402
Vernouillet 28404
Vert-en-Drouais 28405
Viabon 28406
Vichères 28407
Vierville 28408
Vieuvicq 28409
Villampuy 28410
Villars 28411
Villeau 28412
Villebon 28414
Villemeux-sur-Eure 28415
Villeneuve-Saint-Nicolas 28416
Villiers-le-Morhier 28417
Villiers-Saint-Orien 28418
Vitray-en-Beauce 28419
Vitray-sous-Brézolles 28420=28120
Voise 28421
Voves 28422
Yermenonville 28423
Yèvres 28424
Ymeray 28425
Ymonville 28426
