<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Parçay-les-Pins 49234
Parnay 49235
Passavant-sur-Layon 49236
Pellouailles-les-Vignes 49238
Pontigné 49245
Pouancé 49248
Pruillé 49251
Querré 49254
Quincé 49255=49050
Rablay-sur-Layon 49256
Rochefort-sur-Loire 49259
Rou-Marson 49262
Roussay 49263
Saint-André-de-la-Marche 49264
Saint-Aubin-de-Luigné 49265
Saint-Augustin-des-Bois 49266
Saint-Barthélemy-d'Anjou 49267
Saint-Christophe-du-Bois 49269
Saint-Christophe-la-Couperie 49270
Saint-Clément-de-la-Place 49271
Saint-Clément-des-Levées 49272
Saint-Crespin-sur-Moine 49273
Saint-Cyr-en-Bourg 49274
Saint-Ellier 49275=49078
Saint-Florent-le-Vieil 49276
Saint-Georges-des-Gardes 49281
Saint-Georges-des-Sept-Voies 49279
Saint-Georges-du-Bois 49280
Saint-Georges-sur-Layon 49282
Saint-Georges-sur-Loire 49283
Saint-Germain-des-Prés 49284
Saint-Germain-sur-Moine 49285
Saint-Hilaire-du-Bois 49286=49373
Saint-Hilaire-Saint-Florent 49287=49328
Saint-Jean-de-la-Croix 49288
Saint-Jean-de-Linières 49289
Saint-Jean-des-Mauvrets 49290
Saint-Just-sur-Dive 49291
Saint-Lambert-des-Levées 49293=49328
Saint-Lambert-du-Lattay 49292
Saint-Lambert-la-Potherie 49294
Saint-Laurent-de-la-Plaine 49295
Saint-Laurent-des-Autels 49296
Saint-Laurent-du-Mottay 49297
Saint-Léger-des-Bois 49298
Saint-Léger-sous-Cholet 49299
Saint-Lézin 49300
Saint-Macaire-du-Bois 49302
Saint-Macaire-en-Mauges 49301
Saint-Martin-d'Arcé 49303
Saint-Martin-de-la-Place 49304
Saint-Martin-du-Bois 49305
Saint-Martin-du-Fouilloux 49306
Saint-Mathurin-sur-Loire 49307
Saint-Melaine-sur-Aubance 49308
Saint-Michel-et-Chanveaux 49309
Saint-Paul-du-Bois 49310
Saint-Philbert-du-Peuple 49311
Saint-Philbert-en-Mauges 49312
Saint-Pierre-Montlimart 49313
Saint-Quentin-en-Mauges 49314
Saint-Quentin-lès-Beaurepaire 49315
Saint-Rémy-en-Mauges 49316
Saint-Rémy-la-Varenne 49317
Saint-Saturnin-sur-Loire 49318
Saint-Sauveur-de-Flée 49319
Saint-Sauveur-de-Landemont 49320
Saint-Sigismond 49321
Saint-Sulpice 49322
Saint-Sylvain-d'Anjou 49323
Sainte-Christine 49268
Sainte-Gemmes-d'Andigné 49277
Sainte-Gemmes-sur-Loire 49278
Sarrigné 49326
Saulgé-l'Hôpital 49327
Saumur 49328
Savennières 49329
Sceaux-d'Anjou 49330
Segré 49331
Seiches-sur-le-Loir 49333
Sermaise 49334
Somloire 49336
Soucelles 49337
Soulaines-sur-Aubance 49338
Soulaire-et-Bourg 49339
Soulanger 49340=49125
Soeurdres 49335
Souzay-Champigny 49341
Tancoigné 49342
Thorigné-d'Anjou 49344
Thouarcé 49345
Tiercé 49347
Tigné 49348
Tillières 49349
Torfou 49350
Toutlemonde 49352
Trélazé 49353
Trémentines 49355
Trémont 49356
Trèves-Cunault 49357=49094
Turquant 49358
Valanjou 49153
Varennes-sur-Loire 49361
Varrains 49362
Vauchrétien 49363
Vaudelnay 49364
Vaulandry 49380
Vergonnes 49366
Vern-d'Anjou 49367
Vernantes 49368
Vernoil 49369
Verrie 49370
Vezins 49371
Vihiers 49373
Villebernier 49374
Villedieu-la-Blouère 49375
Villemoisan 49376
Villevêque 49377
Vivy 49378
Yzernay 49381
