<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Achères-la-Forêt 77001
Grandpuits-Bailly-Carrois 77211
Gravon 77212
Grégy-sur-Yerre 77213=77175
Gressy 77214
Gretz-Armainvilliers 77215
Grez-sur-Loing 77216
Grisy-Suisnes 77217
Grisy-sur-Seine 77218
Guérard 77219
Guercheville 77220
Guermantes 77221
Guignes 77222
Gurcy-le-Châtel 77223
Hautefeuille 77224
Héricy 77226
Hermé 77227
Hondevilliers 77228
Ichy 77230
Isles-les-Meldeuses 77231
Isles-lès-Villenoy 77232
Iverny 77233
Jablines 77234
Jaignes 77235
Jaulnes 77236
Jossigny 77237
Jouarre 77238
Jouy-le-Châtel 77239
Jouy-sur-Morin 77240
Juilly 77241
Jutigny 77242
La Brosse-Montceaux 77054
La Celle-sur-Morin 77063
La Celle-sur-Seine 77064=77494
La Chapelle-Gauthier 77086
La Chapelle-Iger 77087
La Chapelle-la-Reine 77088
La Chapelle-Moutils 77093
La Chapelle-Rablais 77089
La Chapelle-Saint-Sulpice 77090
La Chapelle-sur-Crécy 77092=77142
La Croix-en-Brie 77147
La Ferté-Gaucher 77182
La Ferté-sous-Jouarre 77183
La Genevraye 77202
La Grande-Paroisse 77210
La Haute-Maison 77225
La Houssaye-en-Brie 77229
La Madeleine-sur-Loing 77267
La Rochette 77389
La Tombe 77467
La Trétoire 77472
Lagny-sur-Marne 77243
Larchant 77244
Laval-en-Brie 77245
Le Châtelet-en-Brie 77100
Le Mée-sur-Seine 77285
Le Mesnil-Amelot 77291
Le Pin 77363
Le Plessis-aux-Bois 77364
Le Plessis-Feu-Aussoux 77365
Le Plessis-l'Évêque 77366
Le Plessis-Placy 77367
Le Vaudoué 77485
Léchelle 77246
Les Chapelles-Bourbon 77091
Les Écrennes 77165
Les Marêts 77275
Les Ormes-sur-Voulzie 77347
Lescherolles 77247
Lesches 77248
Lésigny 77249
Leudon-en-Brie 77250
Lieusaint 77251
Limoges-Fourches 77252
Lissy 77253
Liverdy-en-Brie 77254
Livry-sur-Seine 77255
Lizines 77256
Lizy-sur-Ourcq 77257
Lognes 77258
Longperrier 77259
Longueville 77260
Lorrez-le-Bocage-Préaux 77261
Louan-Villegruis-Fontaine 77262
Luisetaines 77263
Lumigny-Nesles-Ormeaux 77264
Luzancy 77265
Machault 77266
Magny-le-Hongre 77268
Maincy 77269
Maison-Rouge 77272
Maisoncelles-en-Brie 77270
Maisoncelles-en-Gâtinais 77271
Marchémoret 77273
Marcilly 77274
Mareuil-lès-Meaux 77276
Marles-en-Brie 77277
Marolles-en-Brie 77278
Marolles-sur-Seine 77279
Mary-sur-Marne 77280
Mauperthuis 77281
Mauregard 77282
May-en-Multien 77283
Meaux 77284
Meigneux 77286
Meilleray 77287
Melun 77288
Melz-sur-Seine 77289
Méry-sur-Marne 77290
Messy 77292
Misy-sur-Yonne 77293
Mitry-Mory 77294
Moisenay 77295
Moissy-Cramayel 77296
Mondreville 77297
Mons-en-Montois 77298
Montarlot 77299
Montceaux-lès-Meaux 77300
Montceaux-lès-Provins 77301
Montcourt-Fromonville 77302
Montdauphin 77303
Montenils 77304
Montereau-Fault-Yonne 77305
Montereau-sur-le-Jard 77306
Montévrain 77307
Montgé-en-Goële 77308
Monthyon 77309
Montigny-le-Guesdier 77310
Montigny-Lencoup 77311
Montigny-sur-Loing 77312
Montmachoux 77313
Montolivet 77314
Montry 77315
Moret-sur-Loing 77316
Mormant 77317
Mortcerf 77318
Mortery 77319
Mouroux 77320
Mousseaux-lès-Bray 77321
Moussy-le-Neuf 77322
Moussy-le-Vieux 77323
Moutils 77324=77093
Mouy-sur-Seine 77325
Nandy 77326
Nangis 77327
Nanteau-sur-Essonne 77328
Nanteau-sur-Lunain 77329
Nanteuil-lès-Meaux 77330
Nanteuil-sur-Marne 77331
Nantouillet 77332
Nemours 77333
Nesles 77334=77264
Neufmoutiers-en-Brie 77336
