<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Ablon 14001
Gouvix 14309
Grainville-Langannerie 14310
Grainville-sur-Odon 14311
Grandcamp-Maisy 14312
Grandchamp-le-Château 14313
Grandmesnil 14314=14697
Grandouet 14315=14126
Grangues 14316
Graye-sur-Mer 14318
Grentheville 14319
Grimbosq 14320
Grisy 14321=14735
Guéron 14322
Hamars 14324
Hermanville-sur-Mer 14325
Hermival-les-Vaux 14326
Hérouville-Saint-Clair 14327
Hérouvillette 14328
Heuland 14329
Heurtevent 14330
Hiéville 14331
Honfleur 14333
Hotot-en-Auge 14335
Hottot-les-Bagues 14336
Houlgate 14338
Hubert-Folie 14339
Huppain 14340=14515
Ifs 14341
Isigny-sur-Mer 14342
Janville 14344
Jort 14345
Juaye-Mondaye 14346
Jurques 14347
Juvigny-sur-Seulles 14348
L'Hôtellerie 14334
L'Oudon 14697
La Bazoque 14050
La Bigne 14073
La Boissière 14082
La Brévière 14105
La Caine 14122
La Cambe 14124
La Chapelle-Engerbold 14152
La Chapelle-Haute-Grue 14153
La Chapelle-Yvon 14154
La Cressonnière 14199=14621
La Croupte 14210
La Ferrière-au-Doyen 14262=14629
La Ferrière-Duval 14263=14219
La Ferrière-Harang 14264
La Folie 14272
La Folletière-Abenon 14273
La Graverie 14317
La Hoguette 14332
La Houblonnière 14337
La Lande-sur-Drôme 14350
La Lande-Vaumont 14351=14584
La Pommeraye 14510
La Rivière-Saint-Sauveur 14536
La Rocque 14539
La Roque-Baignard 14541
La Vacquerie 14722
La Vespière 14740
La Villette 14756
Laize-la-Ville 14349
Landelles-et-Coupigny 14352
Landes-sur-Ajon 14353
Langrune-sur-Mer 14354
Lantheuil 14355
Lasson 14356
Lassy 14357
Le Bény-Bocage 14061
Le Bô 14080
Le Breuil-en-Auge 14102
Le Breuil-en-Bessin 14103
Le Brévedent 14104
Le Bû-sur-Rouvres 14116
Le Désert 14222
Le Détroit 14223
Le Faulq 14261
Le Fournet 14285
Le Fresne-Camilly 14288
Le Gast 14296
Le Ham 14323=14335
Le Locheur 14373
Le Manoir 14400
Le Marais-la-Chapelle 14402
Le Mesnil-au-Grain 14412
Le Mesnil-Auzouf 14413
Le Mesnil-Bacley 14414
Le Mesnil-Benoist 14415
Le Mesnil-Caussois 14416
Le Mesnil-Durand 14418
Le Mesnil-Eudes 14419
Le Mesnil-Germain 14420
Le Mesnil-Guillaume 14421
Le Mesnil-Mauger 14422
Le Mesnil-Patry 14423
Le Mesnil-Robert 14424
Le Mesnil-Simon 14425
Le Mesnil-sur-Blangy 14426
Le Mesnil-Villement 14427
Le Molay 14434=14370
Le Molay-Littry 14370
Le Pin 14504
Le Plessis-Grimoult 14508
Le Pré-d'Auge 14520
Le Reculey 14532
Le Theil-Bocage 14686
Le Theil-en-Auge 14687
Le Torquesne 14694
Le Tourneur 14704
Le Tronquay 14714
Le Vey 14741
Léaupartie 14358
Lécaude 14359
Leffard 14360
Lénault 14361
Les Autels-Saint-Bazile 14029
Les Authieux-Papion 14031
Les Authieux-sur-Calonne 14032
Les Isles-Bardel 14343
Les Loges 14374
Les Loges-Saulces 14375
Les Monceaux 14435
Les Moutiers-en-Auge 14457
Les Moutiers-en-Cinglais 14458
Les Moutiers-Hubert 14459
Les Oubeaux 14481
Lessard-et-le-Chêne 14362
Lieury 14363=14697
Lingèvres 14364
Lion-sur-Mer 14365
Lisieux 14366
Lison 14367
Lisores 14368
Litteau 14369
Livarot 14371
Livry 14372
Longraye 14376
Longues-sur-Mer 14377
Longueville 14378
Longvillers 14379
Loucelles 14380
Louvagny 14381
Louvières 14382
Louvigny 14383
Luc-sur-Mer 14384
Magny-en-Bessin 14385
Magny-la-Campagne 14386
Magny-le-Freule 14387
Maisoncelles-la-Jourdan 14388
Maisoncelles-Pelvey 14389
Maisoncelles-sur-Ajon 14390
Maisons 14391
Maisy 14392=14312
Maizet 14393
Maizières 14394
Malloué 14395
Maltot 14396
Mandeville-en-Bessin 14397
Manerbe 14398
Manneville-la-Pipard 14399
Manvieux 14401
Marolles 14403
Martainville 14404
Martigny-sur-l'Ante 14405
Martragny 14406
Mathieu 14407
May-sur-Orne 14408
Merville-Franceville-Plage 14409
Méry-Corbon 14410
Meslay 14411
Mesnil-Clinchamps 14417
Mestry 14428=14142
Meulles 14429
Meuvaines 14430
Mézidon-Canon 14431
Missy 14432
Mittois 14433
Monceaux-en-Bessin 14436
Mondeville 14437
Mondrainville 14438
Monfréville 14439
Mont-Bertrand 14441
Montamy 14440
Montchamp 14442
Montchauvet 14443
Monteille 14444
Montfiquet 14445
Montigny 14446
Montpinçon 14447=14697
Montreuil-en-Auge 14448
Monts-en-Bessin 14449
Montviette 14450
Morières 14451=14735
Morteaux-Couliboeuf 14452
Mosles 14453
Mouen 14454
Moulines 14455
Moult 14456
Moyaux 14460
Mutrécy 14461
Neuilly-la-Forêt 14462
Neuilly-le-Malherbe 14463=14721
Neuville 14464=14762
Nonant 14465
Norolles 14466
Noron-l'Abbaye 14467
Noron-la-Poterie 14468
Norrey-en-Auge 14469
Norrey-en-Bessin 14470=14610
Notre-Dame-d'Estrées 14474
Notre-Dame-de-Courson 14471
Notre-Dame-de-Fresnay 14472=14697
Notre-Dame-de-Livaye 14473
Noyers-Bocage 14475
Olendon 14476
Ondefontaine 14477
Orbec 14478
Orbois 14479=14011
Osmanville 14480
Ouézy 14482=14149
Ouffières 14483
Ouilly-du-Houley 14484
Ouilly-le-Basset 14485=14764
Ouilly-le-Tesson 14486
Ouilly-le-Vicomte 14487
Ouistreham 14488
Ouville-la-Bien-Tournée 14489
Parfouru-l'Éclin 14490=14372
Parfouru-sur-Odon 14491
Pennedepie 14492
Percy-en-Auge 14493
Périers-en-Auge 14494
Périers-sur-le-Dan 14495
Périgny 14496
Perrières 14497
Pertheville-Ners 14498
Petiville 14499
Pierrefitte-en-Auge 14500
Pierrefitte-en-Cinglais 14501
Pierrepont 14502
Pierres 14503
Placy 14505
Planquery 14506
