<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Lamargelle-aux-Bois 52261=52094
Lamothe-en-Blaisy 52262
Landéville 52263=52173
Laneuvelle 52264
Laneuville-à-Rémy 52266=52427
Laneuville-au-Bois 52268=52288
Laneuville-au-Pont 52267
Langres 52269
Lannes 52270=52432
Lanques-sur-Rognon 52271
Lanty-sur-Aube 52272
Larivière-Arnoncourt 52273
Latrecey-Ormoy-sur-Aube 52274
Lavernoy 52275
Laville-aux-Bois 52276
Lavilleneuve 52277
Lavilleneuve-au-Roi 52278=52031
Lavilleneuve-aux-Fresnes 52279=52140
Le Châtelet-sur-Meuse 52400
Le Pailly 52374
Le Puits-des-Mèzes 52412=52050
Le Val-d'Esnoms 52189
Lecey 52280
Lécourt 52281=52332
Leffonds 52282
Lénizeul 52283=52332
Les Loges 52290
Leschères-sur-le-Blaiseron 52284
Leuchey 52285
Leurville 52286
Levécourt 52287
Lezéville 52288
Liffol-le-Petit 52289
Longchamp 52291
Longeau-Percey 52292
Longeville-sur-la-Laines 52293
Louvemont 52294
Louvières 52295
Louze 52296
Luzy-sur-Marne 52297
Maâtz 52298
Maconcourt 52299=52456
Magneux 52300
Maisoncelles 52301
Maizières 52302
Maizières-sur-Amance 52303
Malaincourt-sur-Meuse 52304
Mandres-la-Côte 52305
Manois 52306
Marac 52307
Maranville 52308
Marault 52309=52058
Marbéville 52310
Marcilly-en-Bassigny 52311
Mardor 52312
Mareilles 52313
Marmesse 52314=52114
Marnay-sur-Marne 52315
Mathons 52316
Maulain 52317=52332
Melay 52318
Mennouveaux 52319
Merrey 52320
Mertrud 52321
Meures 52322
Meuse 52323=52332
Meuvy 52324=52074
Millières 52325
Mirbel 52326
Moëslains 52327
Montcharvot 52328
Montesson 52329=52388
Montheries 52330
Montier-en-Der 52331
Montlandon 52333=52242
Montormentier 52334=52158
Montot-sur-Rognon 52335
Montreuil-sur-Blaise 52336
Montreuil-sur-Thonnance 52337
Montribourg 52338=52114
Montsaon 52339=52469
Montsaugeon 52340
Morancourt 52341
Morionvilliers 52342
Morteau 52343=52128
Mouilleron 52344
Musseau 52345=52094
Mussey-sur-Marne 52346
Narcy 52347
Neuilly-l'Évêque 52348
Neuilly-sur-Suize 52349
Neuvelle-lès-Voisey 52350
Nijon 52351
Ninville 52352
Nogent 52353
Noidant-Chatenoy 52354
Noidant-le-Rocheux 52355
Nomécourt 52356
Noncourt-sur-le-Rongeant 52357
Noyers 52358
Nully-Trémilly 52359
Occey 52360
Odival 52361=52353
Orbigny-au-Mont 52362
Orbigny-au-Val 52363
Orcevaux 52364
Orges 52365
Ormancey 52366
Ormoy-lès-Sexfontaines 52367
Ormoy-sur-Aube 52368=52274
Orquevaux 52369
Osne-le-Val 52370
Oudincourt 52371
Outremécourt 52372
Ozières 52373
Palaiseul 52375
Pancey 52376
Parnoy-en-Bassigny 52377
Paroy-sur-Saulx 52378
Pautaines-Augeville 52379
Peigney 52380
Percey-le-Pautel 52381=52292
Percey-sous-Montormentier 52382=52158
Perrancey-les-Vieux-Moulins 52383
Perrogney-les-Fontaines 52384
Perrusse 52385
Perthes 52386
Piépape 52387=52529
Pierrefontaines 52389=52384
Pierremont-sur-Amance 52388
Pisseloup 52390
Planrupt 52391
Plesnoy 52392
Poinsenot 52393
Poinson-lès-Fayl 52394
Poinson-lès-Grancey 52395
Poinson-lès-Nogent 52396
Poiseul 52397
Poissons 52398
Pont-la-Ville 52399
Poulangy 52401
Prangey 52402=52529
Praslay 52403
Pratz 52404=52140
Prauthoy 52405
Pressigny 52406
Prez-sous-Lafauche 52407
Prez-sur-Marne 52408=52265
Provenchères-sur-Marne 52409=52211
Provenchères-sur-Meuse 52410=52332
Puellemontier 52411
Rachecourt-sur-Marne 52414
Rachecourt-Suzémont 52413
Rançonnières 52415
Rangecourt 52416
Ravennefontaines 52417=52332
Récourt 52418=52332
Rennepont 52419
Reynel 52420
Riaucourt 52421
Richebourg 52422
Rimaucourt 52423
Rivière-les-Fosses 52425
Rivières-le-Bois 52424
Rizaucourt-Buchey 52426
Robert-Magny-Laneuville-à-Rémy 52427
Rochefort-sur-la-Côte 52428
Roches-Bettaincourt 52044
Roches-sur-Marne 52429
Roches-sur-Rognon 52430=52044
Rochetaillée 52431
Rolampont 52432
Romain-sur-Meuse 52433
Roôcourt-la-Côte 52434=52058
Rosoy-sur-Amance 52435=52242
Rouécourt 52436
Rouelles 52437
Rougeux 52438
Rouvres-sur-Aube 52439
Rouvroy-sur-Marne 52440
Rozières 52441=52479
Rupt 52442
Sailly 52443
Saint-Blin 52444
Saint-Broingt-le-Bois 52445
Saint-Broingt-les-Fosses 52446
Saint-Ciergues 52447
Saint-Dizier 52448
Saint-Loup-sur-Aujon 52450
Saint-Martin-lès-Langres 52452
Saint-Martin-sur-la-Renne 52451=52031
Saint-Maurice 52453
Saint-Michel 52454=52529
Saint-Thiébault 52455
Saint-Urbain-Maconcourt 52456
Saint-Vallier-sur-Marne 52457
Saints-Geosmes 52449
Santenoge 52458=52526
Sarcey 52459
Sarcicourt 52460=52251
Sarrey 52461
Saucourt-sur-Rognon 52462=52177
Saudron 52463
Saulles 52464
Saulxures 52465=52332
Sauvage-Magny 52466=52088
Savigny 52467
Semilly 52468
Semoutiers-Montsaon 52469
Serqueux 52470
Seuchey 52471=52464
Sexfontaines 52472
Signéville 52473
Silvarouvres 52474
Sommancourt 52475
Sommerécourt 52476
Sommermont 52477=52118
Sommeville 52478=52123
Sommevoire 52479
Soncourt-sur-Marne 52480
Soulaincourt 52481=52491
Soulaucourt-sur-Mouzon 52482
Soyers 52483
Suzannecourt 52484
Suzémont 52485=52413
Ternat 52486
Terre-Natale 52504
Thilleux 52487
Thivet 52488
Thol-lès-Millières 52489
Thonnance-lès-Joinville 52490
Thonnance-les-Moulins 52491
Torcenay 52492
Tornay 52493
Treix 52494
Trémilly 52495=52359
Troischamps 52496=52242
Troisfontaines-la-Ville 52497
Tronchoy 52498=52432
Vaillant 52499
Val-de-Meuse 52332
Valcourt 52500
Valdelancourt 52501=52031
Valleret 52502
Valleroy 52503
Vals-des-Tilles 52094
Vaudrecourt 52505
Vaudrémont 52506
Vaux-la-Douce 52508=52544
Vaux-sous-Aubigny 52509
Vaux-sur-Blaise 52510
Vaux-sur-Saint-Urbain 52511
Vauxbons 52507
Vecqueville 52512
Velles 52513
Verbiesles 52514
Verseilles-le-Bas 52515
Verseilles-le-Haut 52516
Vesaignes-sous-Lafauche 52517
Vesaignes-sur-Marne 52518
Vesvres-sous-Chalancey 52519
Vicq 52520
Vieux-Moulins 52521=52383
Viéville 52522
Vignes-la-Côte 52523
Vignory 52524
Villars-en-Azois 52525
Villars-Saint-Marcellin 52527=52060
Villars-Santenoge 52526
