<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Granges-le-Bourg 70277
Grattery 70278
Gray 70279
Gray-la-Ville 70280
Greucourt 70281
Gy 70282
Haut-du-Them-Château-Lambert 70283
Hautevelle 70284
Héricourt 70285
Hugier 70286
Hurecourt 70287
Hyet 70288
Igny 70289
Jasney 70290
Jonvelle 70291
Jussey 70292
La Barre 70050
La Basse-Vaivre 70051
La Bruyère 70103
La Chapelle-lès-Luxeuil 70128
La Chapelle-Saint-Quillain 70129
La Corbière 70172
La Côte 70178
La Creuse 70186
La Demie 70203
La Grande-Résie 70443
La Lanterne-et-les-Armonts 70295
La Longine 70308
La Malachère 70326
La Montagne 70352
La Neuvelle-lès-Lure 70385
La Neuvelle-lès-Scey 70386
La Pisseure 70411
La Proiselière-et-Langle 70425
La Quarte 70430
La Résie-Saint-Martin 70444
La Roche-Morey 70373
La Rochelle 70450
La Rosière 70453
La Vaivre 70512
La Vergenne 70544
La Vernotte 70549
La Villedieu-en-Fontenette 70555
La Villedieu-lès-Quenoche 70556=70456
La Villeneuve-Bellenoye-et-la-Maize 70558
La Voivre 70573
Lambrey 70293
Lantenot 70294
Larians-et-Munans 70296
Larret 70297
Lavigney 70298
Lavoncourt 70299
Le Magnoray 70316
Le Pont-de-Planches 70418
Le Tremblois 70505
Le Val-de-Gouhenans 70515
Le Val-Saint-Éloi 70518
Leffond 70300=70122
Les Aynans 70046
Les Bâties 70053
Les Fessey 70233
Les Fontenis 70241=70447
Les Magny 70317
Lieffrans 70301
Lieucourt 70302
Liévans 70303
Linexert 70304
Lomont 70306
Longevelle 70307
Loeuilley 70305
Loulans-Verchamp 70309
Lure 70310
Luxeuil-les-Bains 70311
Luze 70312
Lyoffans 70313
Magnivray 70314
Magnoncourt 70315
Magny-Danigon 70318
Magny-Jobert 70319
Magny-lès-Jussey 70320
Magny-Vernois 70321
Mailleroncourt-Charette 70322
Mailleroncourt-Saint-Pancras 70323
Mailley-et-Chazelot 70324
Maizières 70325
Malans 70327
Malbouhans 70328
Malvillers 70329
Mandrevillars 70330
Mantoche 70331
Marast 70332
Margilley 70333=70122
Marnay 70334
Maussans 70335
Mélecey 70336
Melin 70337
Melincourt 70338
Mélisey 70339
Membrey 70340
Menoux 70341
Mercey-sur-Saône 70342
Mersuay 70343
Meurcourt 70344
Miellin 70345
Mignafans 70346=70487
Mignavillers 70347
Moffans-et-Vacheresse 70348
Moimay 70349
Molay 70350
Mollans 70351
Mont-le-Frânois 70365=70252
Mont-le-Vernois 70367
Mont-Saint-Léger 70369
Montagney 70353
Montarlot-lès-Champlitte 70354=70122
Montarlot-lès-Rioz 70355
Montboillon 70356
Montbozon 70357
Montcey 70358
Montcourt 70359
Montdoré 70360
Montessaux 70361
Montigny-lès-Cherlieu 70362
Montigny-lès-Vesoul 70363
Montjustin-et-Velotte 70364
Montot 70368
Montseugny 70370=70101
Montureux-et-Prantigny 70371
Montureux-lès-Baulay 70372
Motey-Besuche 70374
Motey-sur-Saône 70375
Nantilly 70376
Nantouard 70377=70466
Navenne 70378
Nervezain 70379=70525
Neurey-en-Vaux 70380
Neurey-lès-la-Demie 70381
Neuvelle-lès-Champlitte 70382=70122
Neuvelle-lès-Cromary 70383
Neuvelle-lès-la-Charité 70384
Noidans-le-Ferroux 70387
Noidans-lès-Vesoul 70388
Noiron 70389
Noroy-le-Bourg 70390
Noroy-lès-Jussey 70391=70292
Oigney 70392
Oiselay-et-Grachaux 70393
Onay 70394
Oppenans 70395
Oricourt 70396
Ormenans 70397
Ormoiche 70398
Ormoy 70399
Ouge 70400
Ovanches 70401
Oyrières 70402
Palante 70403
Passavant-la-Rochère 70404
Pennesières 70405
Percey-le-Grand 70406
Perrouse 70407
Pesmes 70408
Pierrecourt 70409
Pin 70410
Plainemont 70412
Plancher-Bas 70413
