<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Haumont-lès-Lachaussée 55238=55267
Haumont-près-Samogneux 55239
Hautecourt-lès-Broville 55240=55002
Heippes 55241
Hennemont 55242
Herbeuville 55243
Herméville-en-Woëvre 55244
Heudicourt-sous-les-Côtes 55245
Hévilliers 55246
Horville-en-Ornois 55247
Houdelaincourt 55248
Houdelaucourt-sur-Othain 55249=55500
Inor 55250
Ippécourt 55251
Iré-le-Sec 55252
Jametz 55255
Jonville-en-Woëvre 55256
Jouy-en-Argonne 55257
Jubécourt 55259=55117
Julvécourt 55260
Juvigny-en-Perthois 55261
Juvigny-sur-Loison 55262
Koeur-la-Grande 55263
Koeur-la-Petite 55264
Labeuville 55265
Lachalade 55266
Lachaussée 55267
Lacroix-sur-Meuse 55268
Lahaymeix 55269
Lahayville 55270
Laheycourt 55271
Laimont 55272
Lamarche-en-Woëvre 55273=55386
Lamorville 55274
Lamouilly 55275
Landrecourt-Lempire 55276
Landzécourt 55277=55410
Laneuville-au-Rupt 55278
Laneuville-sur-Meuse 55279
Lanhères 55280
Latour-en-Woëvre 55281
Lavallée 55282
Lavignéville 55283=55274
Lavincourt 55284
Lavoye 55285
Le Bouchon-sur-Saulx 55061
Le Claon 55116
Le Neufour 55379
Lemmes 55286
Lempire-aux-Bois 55287=55276
Lérouville 55288
Les Éparges 55172
Les Hauts-de-Chée 55123
Les Islettes 55253
Les Marats 55318=55123
Les Monthairons 55347
Les Paroches 55401
Les Roises 55436
Les Souhesmes-Rampont 55497
Les Trois-Domaines 55254
Levoncourt 55289
Lignières-sur-Aire 55290
Ligny-en-Barrois 55291
Liny-devant-Dun 55292
Lion-devant-Dun 55293
Liouville 55294=55012
Lisle-en-Barrois 55295
Lisle-en-Rigault 55296
Lissey 55297
Loisey-Culey 55298
Loison 55299
Longchamps-sur-Aire 55301
Longeaux 55300
Longeville-en-Barrois 55302
Loupmont 55303
Louppy-le-Château 55304
Louppy-sur-Chée 55305=55123
Louppy-sur-Loison 55306
Louvemont-Côte-du-Poivre 55307
Loxéville 55308=55179
Luméville-en-Ornois 55309=55215
Luzy-Saint-Martin 55310
Maizeray 55311
Maizey 55312
Malancourt 55313
Malaumont 55314=55114
Mandres-en-Barrois 55315
Mangiennes 55316
Manheulles 55317
Marbotte 55319=55012
Marchéville-en-Woëvre 55320
Marre 55321
Marson-sur-Barboure 55322
Martincourt-sur-Meuse 55323
Marville 55324
Maucourt-sur-Orne 55325
Maulan 55326
Mauvages 55327
Maxey-sur-Vaise 55328
Mécrin 55329
Méligny-le-Grand 55330
Méligny-le-Petit 55331
Menaucourt 55332
Ménil-aux-Bois 55333
Ménil-la-Horgne 55334
Ménil-sur-Saulx 55335
Merles-sur-Loison 55336
Mesnil-sous-les-Côtes 55337=55060
Milly-sur-Bradon 55338
Mogeville 55339
Mognéville 55340
Moirey-Flabas-Crépion 55341
Mondrecourt 55342=55254
Mont-devant-Sassey 55345
Mont-Villers 55354=55060
Montblainville 55343
Montbras 55344
Montfaucon-d'Argonne 55346
Montiers-sur-Saulx 55348
Montigny-devant-Sassey 55349
Montigny-lès-Vaucouleurs 55350
Montmédy 55351
Montplonne 55352
Montsec 55353
Montzéville 55355
Moranville 55356
Morgemoulin 55357
Morley 55359
Mouilly 55360
Moulainville 55361
Moulins-Saint-Hubert 55362
Moulotte 55363
Mouzay 55364
Murvaux 55365
Muzeray 55367
Naives-en-Blois 55368
Naives-Rosières 55369
Naix-aux-Forges 55370
Nançois-le-Grand 55371
Nançois-sur-Ornain 55372
Nant-le-Grand 55373
Nant-le-Petit 55374
Nantillois 55375
Nantois 55376
Nepvant 55377
Nettancourt 55378
Neuville-en-Verdunois 55380
Neuville-lès-Vaucouleurs 55381
Neuville-sur-Ornain 55382
Neuvilly-en-Argonne 55383
Nicey-sur-Aire 55384
Nixéville-Blercourt 55385
Nonsard-Lamarche 55386
Nouillonpont 55387
Noyers-Auzécourt 55388
Nubécourt 55389
Oëy 55390=55358
Olizy-sur-Chiers 55391
Ollières 55392=55500
Ornel 55393=55191
Ornes 55394
Osches 55395
Ourches-sur-Meuse 55396
Pagny-la-Blanche-Côte 55397
Pagny-sur-Meuse 55398
Pareid 55399
Parfondrupt 55400
Parois 55402=55117
Peuvillers 55403
Pierrefitte-sur-Aire 55404
Pillon 55405
Pintheville 55406
Pont-sur-Meuse 55407
Pouilly-sur-Meuse 55408
Pretz-en-Argonne 55409
Quincy-Landzécourt 55410
Raival 55442
Rambluzin-et-Benoite-Vaux 55411
Rambucourt 55412
Rampont 55413=55497
Rancourt-sur-Ornain 55414
Ranzières 55415
Rarécourt 55416
Raulecourt 55417=55085
Réchicourt 55418=55500
Récicourt 55419
Récourt-le-Creux 55420
Reffroy 55421
Regnéville-sur-Meuse 55422
Rembercourt-Sommaisne 55423
Remennecourt 55424
Remoiville 55425
Resson 55426
Revigny-sur-Ornain 55427
Réville-aux-Bois 55428
Riaville 55429
Ribeaucourt 55430
Richecourt 55431
Rignaucourt 55432=55254
Rigny-la-Salle 55433
Rigny-Saint-Martin 55434
Robert-Espagne 55435
Romagne-sous-les-Côtes 55437
Romagne-sous-Montfaucon 55438
Ronvaux 55439
Rosières-devant-Bar 55440=55369
Rosières-en-Blois 55441=55148
Rouvres-en-Woëvre 55443
Rouvrois-sur-Meuse 55444
Rouvrois-sur-Othain 55445
Rumont 55446
Rupt-aux-Nonains 55447
Rupt-devant-Saint-Mihiel 55448
Rupt-en-Woëvre 55449
Rupt-sur-Othain 55450
Saint-Agnant-sous-les-Côtes 55451=55012
Saint-Amand-sur-Ornain 55452
Saint-André-en-Barrois 55453
Saint-Aubin-sur-Aire 55454
Saint-Benoît-en-Woëvre 55455=55551
Saint-Germain-sur-Meuse 55456
Saint-Hilaire-en-Woëvre 55457
Saint-Jean-lès-Buzy 55458
Saint-Joire 55459
Saint-Julien-sous-les-Côtes 55460
Saint-Laurent-sur-Othain 55461
Saint-Maurice-sous-les-Côtes 55462
Saint-Mihiel 55463
Saint-Pierrevillers 55464
Saint-Remy-la-Calonne 55465
Salmagne 55466
Samogneux 55468
Sampigny 55467
Sassey-sur-Meuse 55469
Saudrupt 55470
Saulmory-et-Villefranche 55471
Saulvaux 55472
Saulx-lès-Champlon 55473
Sauvigny 55474
Sauvoy 55475
Savonnières-devant-Bar 55476
Savonnières-en-Perthois 55477
Savonnières-en-Woëvre 55478=55530
Seigneulles 55479
Senard 55480=55517
Senon 55481
Senoncourt-les-Maujouy 55482
Senonville 55483=55530
Septsarges 55484
Sepvigny 55485
Seraucourt 55486=55040
Seuil-d'Argonne 55517
Seuzey 55487
Silmont 55488
Sivry-la-Perche 55489
Sivry-sur-Meuse 55490
Sommaisne 55491=55423
Sommedieue 55492
Sommeilles 55493
Sommelonne 55494
Sorbey 55495
Sorcy-Saint-Martin 55496
Souilly 55498
Spada 55499=55274
Spincourt 55500
Stainville 55501
Stenay 55502
Taillancourt 55503
Tannois 55504
Thierville-sur-Meuse 55505
Thillombois 55506
Thillot 55507
Thonne-la-Long 55508
Thonne-le-Thil 55509
Thonne-les-Près 55510
Thonnelle 55511
Tilly-sur-Meuse 55512
Tourailles-sous-Bois 55513=55215
Trémont-sur-Saulx 55514
Trésauvaux 55515
Tréveray 55516
Tronville-en-Barrois 55519
Troussey 55520
Troyon 55521
Ugny-sur-Meuse 55522
Vacherauville 55523
Vacon 55524=55573
Vadelaincourt 55525
Vadonville 55526
Val-d'Ornain 55366
Valbois 55530
Varennes-en-Argonne 55527
Varnéville 55528
Varney 55529=55366
Vassincourt 55531
Vaubecourt 55532
Vaucouleurs 55533
Vaudeville-le-Haut 55534
Vaudoncourt 55535
Vauquois 55536
Vaux-devant-Damloup 55537
Vaux-la-Grande 55538=55472
Vaux-la-Petite 55539=55472
Vaux-lès-Palameix 55540
Vavincourt 55541
Véel 55542=55186
Velaines 55543
Velosnes 55544
Verdun 55545
Verneuil-Grand 55546
Verneuil-Petit 55547
Vertuzey 55548=55184
Véry 55549
Viéville-sous-les-Côtes 55550=55551
Vigneul-sous-Montmédy 55552
Vigneulles-lès-Hattonchâtel 55551
Vignot 55553
Ville-devant-Belrain 55555
Ville-devant-Chaumont 55556
Ville-en-Woëvre 55557
Ville-Issey 55558=55184
Ville-sur-Cousances 55567
Ville-sur-Saulx 55568
Villécloye 55554
Villeroy-sur-Méholle 55559
Villers-aux-Vents 55560
Villers-devant-Dun 55561
Villers-le-Sec 55562
Villers-lès-Mangiennes 55563
Villers-sous-Bonchamp 55564=55060
Villers-sous-Pareid 55565
Villers-sur-Meuse 55566
Villotte-devant-Louppy 55569
Villotte-sur-Aire 55570
Vilosnes-Haraumont 55571
Vittarville 55572
Void-Vacon 55573
Vouthon-Bas 55574
Vouthon-Haut 55575
Wadonville-en-Woëvre 55576=55457
Waly 55577
Warcq 55578
Watronville 55579
Wavrille 55580
Willeroncourt 55581
Wiseppe 55582
Woël 55583
Woimbey 55584
Woinville 55585=55093
Xivray-et-Marvoisin 55586
