<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Hannaches 60296
Hanvoile 60298
Hardivillers 60299
Hardivillers-en-Vexin 60300
Haucourt 60301
Haudivillers 60302
Hautbos 60303
Haute-Épine 60304
Hautefontaine 60305
Hécourt 60306
Heilles 60307
Hémévillers 60308
Hénonville 60309
Herchies 60310
Héricourt-sur-Thérain 60312
Hermes 60313
Hétomesnil 60314
Hodenc-en-Bray 60315
Hodenc-l'Évêque 60316
Hondainville 60317
Houdancourt 60318
Ivors 60320
Ivry-le-Temple 60321
Jaméricourt 60322
Janville 60323
Jaulzy 60324
Jaux 60325
Jonquières 60326
Jouy-sous-Thelle 60327
Juvignies 60328
La Chapelle-en-Serval 60142
La Hérelle 60311
La Houssoye 60319
La Neuville-d'Aumont 60453
La Neuville-en-Hez 60454
La Neuville-Garnier 60455
La Neuville-Saint-Pierre 60457
La Neuville-sur-Oudeuil 60458
La Neuville-sur-Ressons 60459
La Neuville-Vault 60460
La Rue-Saint-Pierre 60559
La Villeneuve-sous-Thury 60679
Laberlière 60329
Laboissière-en-Thelle 60330
Labosse 60331
Labruyère 60332
Lachapelle-aux-Pots 60333
Lachapelle-Saint-Pierre 60334
Lachapelle-sous-Gerberoy 60335
Lachaussée-du-Bois-d'Écu 60336
Lachelle 60337
Lacroix-Saint-Ouen 60338
Lafraye 60339
Lagny 60340
Lagny-le-Sec 60341
Laigneville 60342
Lalande-en-Son 60343
Lalandelle 60344
Lamécourt 60345
Lamorlaye 60346
Laneuvilleroy 60456
Lannoy-Cuillère 60347
Larbroye 60348
Lardières 60349=60395
Lassigny 60350
Lataule 60351
Lattainville 60352
Lavacquerie 60353
Laverrière 60354
Laversines 60355
Lavilletertre 60356
Le Coudray-Saint-Germer 60164
Le Coudray-sur-Thelle 60165
Le Crocq 60182
Le Déluge 60196
Le Fay-Saint-Quentin 60230
Le Fayel 60229
Le Frestoy-Vaux 60262
Le Gallet 60267
Le Hamel 60297
Le Mesnil-Conteville 60397
Le Mesnil-en-Thelle 60398
Le Mesnil-Saint-Firmin 60399
Le Mesnil-sur-Bulles 60400
Le Mesnil-Théribus 60401
Le Meux 60402
Le Mont-Saint-Adrien 60428
Le Plessier-sur-Bulles 60497
Le Plessier-sur-Saint-Just 60498
Le Plessis-Belleville 60500
Le Plessis-Brion 60501
Le Plessis-Patte-d'Oie 60502
Le Ployron 60503
Le Quesnel-Aubry 60520
Le Saulchoy 60608
Le Vaumain 60660
Le Vauroux 60662
Léglantiers 60357
Les Ageux 60006
Lévignen 60358
Lhéraule 60359
Liancourt 60360
Liancourt-Saint-Pierre 60361
Libermont 60362
Lierville 60363
Lieuvillers 60364
Lihus 60365
Litz 60366
Loconville 60367
Longueil-Annel 60368
Longueil-Sainte-Marie 60369
Lormaison 60370
Loueuse 60371
Luchy 60372
Machemont 60373
Maignelay-Montigny 60374
Maimbeville 60375
Maisoncelle-Saint-Pierre 60376
Maisoncelle-Tuilerie 60377
Marest-sur-Matz 60378
Mareuil-la-Motte 60379
Mareuil-sur-Ourcq 60380
Margny-aux-Cerises 60381
Margny-lès-Compiègne 60382
Margny-sur-Matz 60383
Marissel 60384=60057
Marolles 60385
Marquéglise 60386
Marseille-en-Beauvaisis 60387
Martincourt 60388
Maucourt 60389
Maulers 60390
Maysel 60391
Mélicocq 60392
Mello 60393
Ménévillers 60394
Méru 60395
Méry-la-Bataille 60396
Milly-sur-Thérain 60403
Mogneville 60404
Moliens 60405
Monceaux 60406
Monceaux-l'Abbaye 60407
Monchy-Humières 60408
Monchy-Saint-Éloi 60409
Mondescourt 60410
Monneville 60411
Mont-l'Évêque 60421
Montagny-en-Vexin 60412
Montagny-Sainte-Félicité 60413
Montataire 60414
Montépilloy 60415
Montgérain 60416
Montherlant 60417
Montiers 60418
Montigny 60419=60374
Montjavoult 60420
Montlognon 60422
Montmacq 60423
Montmartin 60424
Montreuil-sur-Brêche 60425
Montreuil-sur-Thérain 60426
Monts 60427
Morangles 60429
Morienval 60430
Morlincourt 60431
Mortefontaine 60432
Mortefontaine-en-Thelle 60433
Mortemer 60434
Morvillers 60435
Mory-Montcrux 60436
Mouchy-le-Châtel 60437
Moulin-sous-Touvent 60438
Mouy 60439
Moyenneville 60440
Moyvillers 60441
Muidorge 60442
Muirancourt 60443
Mureaumont 60444
Nampcel 60445
Nanteuil-le-Haudouin 60446
Néry 60447
Neufchelles 60448
Neufvy-sur-Aronde 60449
Neuilly-en-Thelle 60450
Neuilly-sous-Clermont 60451
Neuville-Bosc 60452
Nivillers 60461
Noailles 60462
Nogent-sur-Oise 60463
Nointel 60464
Noirémont 60465
Noroy 60466
Notre-Dame-du-Thil 60467=60057
Nourard-le-Franc 60468
Novillers 60469
Noyers-Saint-Martin 60470
Noyon 60471
Offoy 60472
Ognes 60473
Ognolles 60474
Ognon 60475
Omécourt 60476
Ons-en-Bray 60477
Ormoy-le-Davien 60478
