<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Jâlons 51303
Janvilliers 51304
Janvry 51305
Joiselle 51306
Jonchery-sur-Suippe 51307
Jonchery-sur-Vesle 51308
Jonquery 51309
Jouy-lès-Reims 51310
Jussecourt-Minecourt 51311
Juvigny 51312
L'Échelle 51221=51380
L'Épine 51231
La Caure 51100
La Celle-sous-Chantemerle 51103
La Chapelle-Felcourt 51126
La Chapelle-Lasson 51127
La Chapelle-sous-Orbais 51128
La Chaussée-sur-Marne 51141
La Cheppe 51147
La Croix-en-Champagne 51197
La Forestière 51258
La Neuville-au-Pont 51399
La Neuville-aux-Bois 51397
La Neuville-aux-Larris 51398
La Neuvillette 51401=51454
La Noue 51407
La Veuve 51617
La Ville-sous-Orbais 51639
La Villeneuve-lès-Charleville 51626
Lachy 51313
Lagery 51314
Landricourt 51315
Larzicourt 51316
Laval-sur-Tourbe 51317
Lavannes 51318
Le Baizil 51033
Le Breuil 51085
Le Buisson 51095
Le Châtelier 51133
Le Chemin 51143
Le Fresne 51260
Le Gault-Soigny 51264
Le Meix-Saint-Epoing 51360
Le Meix-Tiercelin 51361
Le Mesnil-lès-Hurlus 51366=51368
Le Mesnil-sur-Oger 51367
Le Thoult-Trosnay 51570
Le Vézier 51618
Le Vieil-Dampierre 51619
Lenharrée 51319
Les Charmontois 51132
Les Essarts-le-Vicomte 51236
Les Essarts-lès-Sézanne 51235
Les Grandes-Loges 51278
Les Istres-et-Bury 51302
Les Mesneux 51365
Les Petites-Loges 51428
Les Rivières-Henruel 51463
Leuvrigny 51320
Lhéry 51321
Lignon 51322
Linthelles 51323
Linthes 51324
Lisse-en-Champagne 51325
Livry-Louvercy 51326
Loisy-en-Brie 51327
Loisy-sur-Marne 51328
Loivre 51329
Louvercy 51330=51326
Louvois 51331
Lucy 51332=51381
Ludes 51333
Luxémont-et-Villotte 51334
Maclaunay 51335=51380
Maffrécourt 51336
Magenta 51663
Magneux 51337
Mailly-Champagne 51338
Mairy-sur-Marne 51339
Maisons-en-Champagne 51340
Malmy 51341
Mancy 51342
Marcilly-sur-Seine 51343
Mardeuil 51344
Mareuil-en-Brie 51345
Mareuil-le-Port 51346
Mareuil-sur-Ay 51347
Marfaux 51348
Margerie-Hancourt 51349
Margny 51350
Marigny 51351
Marolles 51352
Marsangis 51353
Marson 51354
Massiges 51355
Matignicourt-Goncourt 51356
Matougues 51357
Maurupt-le-Montois 51358
Mécringes 51359
Merfy 51362
Merlaut 51363
Méry-Prémecy 51364
Minaucourt-le-Mesnil-lès-Hurlus 51368
Moiremont 51370
Moivre 51371
Moncetz-l'Abbaye 51373
Moncetz-Longevas 51372
Mondement-Montgivroux 51374
Mont-sur-Courville 51382
Montbré 51375
Montépreux 51377
Montgenost 51376
Monthelon 51378
Montigny-sur-Vesle 51379
Montmirail 51380
Montmort-Lucy 51381
Morains 51383=51158
Morangis 51384
Moronvilliers 51385=51440
Morsains 51386
Moslins 51387
Mourmelon-le-Grand 51388
Mourmelon-le-Petit 51389
Moeurs-Verdey 51369
Moussy 51390
Muizon 51391
Mutigny 51392
Nanteuil-la-Forêt 51393
Nauroy 51394=51046
Nesle-la-Reposte 51395
Nesle-le-Repons 51396
Neuville-sous-Arzillières 51400=51017
Neuvy 51402
Nogent-l'Abbesse 51403
Noirlieu 51404
Normée 51405=51248
Norrois 51406
Nuisement-aux-Bois 51408=51277
Nuisement-sur-Coole 51409
Oger 51411
Ognes 51412
Oiry 51413
Olizy 51414
Omey 51415
Orbais-l'Abbaye 51416
Orconte 51417
Ormes 51418
Oeuilly 51410
Outines 51419
Outrepont 51420
Oyes 51421
Pargny-lès-Reims 51422
Pargny-sur-Saulx 51423
Passavant-en-Argonne 51424
Passy-Grigny 51425
Péas 51426
Perthes-lès-Hurlus 51427=51553
Pévy 51429
Pierre-Morains 51430
Pierry 51431
Pleurs 51432
Plichancourt 51433
Plivot 51434
Pocancy 51435
Pogny 51436
Poilly 51437
Poix 51438
Pomacle 51439
Pontfaverger-Moronvilliers 51440
Ponthion 51441
Possesse 51442
Potangis 51443
Pouillon 51444
Pourcy 51445
Pringy 51446
Prosnes 51447
Prouilly 51448
Prunay 51449
Puisieulx 51450
Queudes 51451
Rapsécourt 51452
Recy 51453
Reims 51454
Reims-la-Brûlée 51455
Remicourt 51456
Reuil 51457
Reuves 51458
Réveillon 51459
Rieux 51460
Rilly-la-Montagne 51461
Ripont 51462=51470
Romain 51464
Romery 51465
Romigny 51466
Rosay 51467=51218
Rosnay 51468
Rouffy 51469
Rouvroy-Ripont 51470
Sacy 51471
Saint-Amand-sur-Fion 51472
Saint-Bon 51473
Saint-Brice-Courcelles 51474
Saint-Chéron 51475
Saint-Étienne-au-Temple 51476
Saint-Étienne-sur-Suippe 51477
Saint-Eulien 51478
Saint-Euphraise-et-Clairizet 51479
Saint-Genest 51481=51071
Saint-Germain-la-Ville 51482
Saint-Gibrien 51483
Saint-Gilles 51484
Saint-Hilaire-au-Temple 51485
Saint-Hilaire-le-Grand 51486
Saint-Hilaire-le-Petit 51487
Saint-Imoges 51488
Saint-Jean-devant-Possesse 51489
Saint-Jean-sur-Moivre 51490
Saint-Jean-sur-Tourbe 51491
Saint-Just-Sauvage 51492
Saint-Léonard 51493
Saint-Loup 51495
Saint-Lumier-en-Champagne 51496
Saint-Lumier-la-Populeuse 51497
Saint-Mard-lès-Rouffy 51499
Saint-Mard-sur-Auve 51498
Saint-Mard-sur-le-Mont 51500
Saint-Martin-aux-Champs 51502
Saint-Martin-d'Ablois 51002
Saint-Martin-l'Heureux 51503
Saint-Martin-sur-le-Pré 51504
Saint-Masmes 51505
Saint-Memmie 51506
Saint-Ouen-Domprot 51508
Saint-Pierre 51509
Saint-Quentin-le-Verger 51511
Saint-Quentin-les-Marais 51510
Saint-Quentin-sur-Coole 51512
Saint-Remy-sous-Broyes 51514
Saint-Remy-sur-Bussy 51515
Saint-Saturnin 51516
Saint-Souplet-sur-Py 51517
Saint-Thierry 51518
Saint-Thomas-en-Argonne 51519
Saint-Utin 51520
Saint-Vrain 51521
Sainte-Gemme 51480
Sainte-Livière 51494=52182
Sainte-Marie-à-Py 51501
Sainte-Marie-du-Lac-Nuisement 51277
Sainte-Menehould 51507
Sapignicourt 51522
Sarcy 51523
Saron-sur-Aube 51524
Sarry 51525
Saudoy 51526
Savigny-sur-Ardres 51527
Scrupt 51528
Selles 51529
Sept-Saulx 51530
Sermaize-les-Bains 51531
Sermiers 51532
Servon-Melzicourt 51533
Serzy-et-Prin 51534
Sézanne 51535
Sillery 51536
Sivry-Ante 51537
Sogny-aux-Moulins 51538
Sogny-en-l'Angle 51539
Soigny 51540=51264
Soilly 51541=51217
Soizy-aux-Bois 51542
Somme-Bionne 51543
Somme-Suippe 51546
Somme-Tourbe 51547
Somme-Vesle 51548
Somme-Yèvre 51549
Sommepy-Tahure 51544
Sommesous 51545
Sompuis 51550
Somsois 51551
Songy 51552
Souain-Perthes-lès-Hurlus 51553
Soudé 51555
Soudé-Notre-Dame-ou-le-Petit 51554=51555
