<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Le Thillot 88468
Le Tholy 88470
Le Val-d'Ajol 88487
Le Valtin 88492
Le Vermont 88501
Légéville-et-Bonfays 88264
Lemmecourt 88265
Lépanges-sur-Vologne 88266
Lerrain 88267
Les Ableuvenettes 88001
Les Forges 88178
Les Poulières 88356
Les Rouges-Eaux 88398
Les Thons 88471
Les Vallois 88491
Les Voivres 88520
Lesseux 88268
Liézey 88269
Liffol-le-Grand 88270
Lignéville 88271
Lironcourt 88272
Longchamp 88273
Longchamp-sous-Châtenois 88274
Lubine 88275
Lusse 88276
Luvigny 88277
Maconcourt 88278
Madecourt 88279
Madegney 88280
Madonne-et-Lamerey 88281
Malaincourt 88283
Mandray 88284
Mandres-sur-Vair 88285
Marainville-sur-Madon 88286
Marey 88287
Maroncourt 88288
Martigny-les-Bains 88289
Martigny-les-Gerbonvaux 88290
Martinvelle 88291
Mattaincourt 88292
Maxey-sur-Meuse 88293
Mazeley 88294
Mazirot 88295
Médonville 88296
Méménil 88297
Ménarmont 88298
Ménil-de-Senones 88300
Ménil-en-Xaintois 88299
Ménil-sur-Belvitte 88301
Midrevaux 88303
Mirecourt 88304
Moncel-sur-Vair 88305
Mont-lès-Lamarche 88307
Mont-lès-Neufchâteau 88308
Monthureux-le-Sec 88309
Monthureux-sur-Saône 88310
Montmotier 88311
Morelmaison 88312
Moriville 88313
Morizécourt 88314
Mortagne 88315
Morville 88316
Moussey 88317
Moyemont 88318
Moyenmoutier 88319
Nayemont-les-Fosses 88320
Neufchâteau 88321
Neuvillers-sur-Fave 88326
Nomexy 88327
Nompatelize 88328
Noncourt 88329=88321
Nonville 88330
Nonzeville 88331
Norroy 88332
Nossoncourt 88333
Oëlleville 88334
Offroicourt 88335
Ollainville 88336
Oncourt 88337
Ortoncourt 88338
Outrancourt 88339=88114
Padoux 88340
Pair-et-Grandrupt 88341
Pallegney 88342
Parey-sous-Montfort 88343
Pargny-sous-Mureau 88344
Pierrefitte 88347
Pierrepont-sur-l'Arentèle 88348
Plainfaing 88349
Pleuvezain 88350
Plombières-les-Bains 88351
Pompierre 88352
Pont-lès-Bonfays 88353
Pont-sur-Madon 88354
Portieux 88355
Poussay 88357
Pouxeux 88358
Prey 88359
Provenchères-lès-Darney 88360
Provenchères-sur-Fave 88361
Punerot 88363
Puzieux 88364
Racécourt 88365
Rainville 88366
Rambervillers 88367
Ramecourt 88368
Ramonchamp 88369
Rancourt 88370
Raon-aux-Bois 88371
Raon-l'Étape 88372
Raon-sur-Plaine 88373
Rapey 88374
Raves 88375
Rebeuville 88376
Regnévelle 88377
Regney 88378
Rehaincourt 88379
Rehaupal 88380
Relanges 88381
Remicourt 88382
Remiremont 88383
Rémois 88384=88274
Remomeix 88386
Remoncourt 88385
Removille 88387
Renauvoid 88388
Repel 88389
Robécourt 88390
Rochesson 88391
Rocourt 88392
Rollainville 88393
Romain-aux-Bois 88394
Romont 88395
Roncourt 88396=88227
Rouceux 88397=88321
Rouvres-en-Xaintois 88400
Rouvres-la-Chétive 88401
Roville-aux-Chênes 88402
Rozerotte 88403
Rozières-sur-Mouzon 88404
Ruaux 88405=88351
Rugney 88406
Ruppes 88407
Rupt-sur-Moselle 88408
Saint-Amé 88409
Saint-Baslemont 88411
Saint-Benoît-la-Chipotte 88412
Saint-Dié-des-Vosges 88413
Saint-Élophe 88414=88460
Saint-Étienne-lès-Remiremont 88415
Saint-Genest 88416
Saint-Gorgon 88417
Saint-Jean-d'Ormont 88419
Saint-Jean-du-Marché 88420=88322
Saint-Julien 88421
Saint-Laurent 88422=88160
Saint-Léonard 88423
Saint-Maurice-sur-Mortagne 88425
Saint-Maurice-sur-Moselle 88426
Saint-Menge 88427
Saint-Michel-sur-Meurthe 88428
Saint-Nabord 88429
Saint-Ouen-lès-Parey 88430
Saint-Paul 88431
Saint-Pierremont 88432
Saint-Prancher 88433
Saint-Remimont 88434
Saint-Remy 88435
Saint-Stail 88436
Saint-Vallier 88437
Sainte-Barbe 88410
Sainte-Hélène 88418
Sainte-Marguerite 88424
Sanchey 88439
Sandaucourt 88440
Sans-Vallois 88441
Sapois 88442
Sartes 88443
Saulcy-sur-Meurthe 88445
Saulxures-lès-Bulgnéville 88446
Saulxures-sur-Moselotte 88447
Sauville 88448
Savigny 88449
Senaide 88450
Senones 88451
Senonges 88452
Seraumont 88453
Sercoeur 88454
Serécourt 88455
Serocourt 88456
Sionne 88457
Socourt 88458
Soncourt 88459
Soulosse-sous-Saint-Élophe 88460
Suriauville 88461
Taintrux 88463
Tendon 88464
Thaon-les-Vosges 88465
They-sous-Montfort 88466
Thiéfosse 88467
Thiraucourt 88469
Thuillières 88472
Tignécourt 88473
Tilleux 88474
Tollaincourt 88475
Totainville 88476
Trampot 88477
Tranqueville-Graux 88478
Trémonzey 88479
Ubexy 88480
Uriménil 88481
Urville 88482
Uxegney 88483
Uzemain 88484
Vagney 88486
Valfroicourt 88488
Valleroy-aux-Saules 88489
Valleroy-le-Sec 88490
Varmonzey 88493
Vaubexy 88494
Vaudéville 88495
Vaudoncourt 88496
Vaxoncourt 88497
Vecoux 88498
Velotte-et-Tatignécourt 88499
Ventron 88500
Vervezelle 88502
Vexaincourt 88503
Vicherey 88504
Vienville 88505
Vieux-Moulin 88506
Ville-sur-Illon 88508
Villers 88507
Villoncourt 88509
Villotte 88510
Villouxel 88511
Viménil 88512
Vincey 88513
Viocourt 88514
Vioménil 88515
Vittel 88516
Viviers-le-Gras 88517
Viviers-lès-Offroicourt 88518
Vomécourt 88521
Vomécourt-sur-Madon 88522
Vouxey 88523
Vrécourt 88524
Vroville 88525
Wisembach 88526
Xaffévillers 88527
Xamontarupt 88528
Xaronval 88529
Xertigny 88530
Xonrupt-Longemer 88531
Zincourt 88532
