<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Abergement-la-Ronce 39001
Saint-Claude 39478
Saint-Cyr-Montmalin 39479
Saint-Didier 39480
Saint-Germain-en-Montagne 39481
Saint-Germain-lès-Arlay 39482
Saint-Hymetière 39483
Saint-Jean-d'Étreux 39484
Saint-Julien 39485
Saint-Lamain 39486
Saint-Laurent-en-Grandvaux 39487
Saint-Laurent-la-Roche 39488
Saint-Lothain 39489
Saint-Loup 39490
Saint-Lupicin 39491
Saint-Maur 39492
Saint-Maurice-Crillat 39493
Saint-Pierre 39494
Saint-Thiébaud 39495
Saint-Ylie 39496=39198
Sainte-Agnès 39474
Saizenay 39497
Salans 39498
Saligney 39499
Salins-les-Bains 39500
Sampans 39501
Santans 39502
Sapois 39503
Sarrogna 39504
Saugeot 39505
Savigna 39506
Séligney 39507
Sellières 39508
Senaud 39509
Septmoncel 39510
Sergenaux 39511
Sergenon 39512
Sermange 39513
Serre-les-Moulières 39514
Sézéria 39515=39397
Sièges 39516=39579
Sirod 39517
Songeson 39518
Soucia 39519
Souvans 39520
Soyria 39521=39154
Supt 39522
Syam 39523
Tancua 39524
Tassenières 39525
Tavaux 39526
Taxenne 39527
Thervay 39528
Thésy 39529
Thoirette 39530
Thoiria 39531
Thoissia 39532
Toulouse-le-Château 39533
Tourmont 39535
Treffay 39536=39517
Trenal 39537
Uxelles 39538
Vadans 39539
Val-d'Épy 39209
Valempoulières 39540
Valfin-lès-Saint-Claude 39541=39478
Valfin-sur-Valouse 39542
Vannoz 39543
Varessia 39544
Vaudrey 39546
Vaux-lès-Saint-Claude 39547
Vaux-sur-Poligny 39548
Vercia 39549
Verges 39550
Véria 39551
Vernantois 39552
Vers-en-Montagne 39554
Vers-sous-Sellières 39555
Vertamboz 39556
Vescles 39557
Vevy 39558
Villard-Saint-Sauveur 39560
Villard-sur-Bienne 39562
Villard-sur-l'Ain 39563=39313
Villards-d'Héria 39561
Villechantria 39564
Villeneuve-d'Aval 39565
Villeneuve-lès-Charnod 39566
Villeneuve-sous-Pymont 39567
Villers-Farlay 39569
Villers-les-Bois 39570
Villers-Robert 39571
Villerserine 39568
Villette-lès-Arbois 39572
Villette-lès-Dole 39573
Villevieux 39574
Vincelles 39576
Vincent 39577
Viremont 39578=39086
Viry 39579
Vitreux 39581
Voiteur 39582
Vosbles 39583
Vriange 39584
Vulvoz 39585
