<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Mahéru 61244
Maison-Maugis 61245
Mâle 61246
Malétable 61247
Mantilly 61248
Marcei 61249
Marchainville 61250
Marchemaisons 61251
Mardilly 61252
Marmouillé 61253
Marnefer 61254=61136
Mauves-sur-Huisne 61255
Médavy 61256
Méhoudin 61257
Ménil-Erreux 61263
Ménil-Froger 61264
Ménil-Gondouin 61265
Ménil-Hermei 61267
Ménil-Hubert-en-Exmes 61268
Ménil-Hubert-sur-Orne 61269
Ménil-Jean 61270
Ménil-Vin 61273
Merri 61276
Messei 61278
Mieuxcé 61279
Monceaux-au-Perche 61280
Moncy 61281
Monnai 61282
Mont-Ormel 61289
Montabard 61283
Montchevrel 61284
Montgaroult 61285
Montgaudry 61286
Montilly-sur-Noireau 61287
Montmerrei 61288
Montreuil-au-Houlme 61290
Montreuil-la-Cambe 61291
Montsecret 61292
Mortagne-au-Perche 61293
Mortrée 61294
Moulicent 61296
Moulins-la-Marche 61297
Moulins-sur-Orne 61298
Moussonvilliers 61299
Moutiers-au-Perche 61300
Neauphe-sous-Essai 61301
Neauphe-sur-Dive 61302
Nécy 61303
Neuilly-le-Bisson 61304
Neuilly-sur-Eure 61305
Neuville-près-Sées 61306
Neuville-sur-Touques 61307
Neuvy-au-Houlme 61308
Nocé 61309
Nonant-le-Pin 61310
Normandel 61311
Notre-Dame-d'Aspres 61312=61422
Notre-Dame-du-Rocher 61313
Occagnes 61314
Omméel 61315
Ommoy 61316
Orgères 61317
Origny-le-Butin 61318
Origny-le-Roux 61319
Orville 61320
Pacé 61321
Parfondeval 61322
Passais 61324
Perrou 61326
Pervenchères 61327
Planches 61330
Pointel 61332
Pont-Écrepin 61334=61339
Pontchardon 61333
Pouvrai 61336
Préaux-du-Perche 61337
Prépotin 61338
Putanges-Pont-Écrepin 61339
Rabodanges 61340
Radon 61341
Rai 61342
Randonnai 61343
Rânes 61344
Rémalard 61345
Résenlieu 61347
Réveillon 61348
Ri 61349
Roiville 61351
Rônai 61352
Ronfeugerai 61353
Rouellé 61355
Rouperroux 61357
Sai 61358
Saint-Agnan-sur-Erre 61359
Saint-Agnan-sur-Sarthe 61360
Saint-André-de-Briouze 61361
Saint-André-de-Messei 61362
Saint-Aquilin-de-Corbion 61363
Saint-Aubert-sur-Orne 61364
Saint-Aubin-d'Appenai 61365
Saint-Aubin-de-Bonneval 61366
Saint-Aubin-de-Courteraie 61367
Saint-Aubin-des-Grois 61368
Saint-Bômer-les-Forges 61369
Saint-Brice 61370
Saint-Brice-sous-Rânes 61371
Saint-Céneri-le-Gérei 61372
Saint-Christophe-de-Chaulieu 61374
Saint-Christophe-le-Jajolet 61375
Saint-Clair-de-Halouze 61376
Saint-Cornier-des-Landes 61377
Saint-Cyr-la-Rosière 61379
Saint-Denis-de-Villenette 61380
Saint-Denis-sur-Huisne 61381
Saint-Denis-sur-Sarthon 61382
Saint-Didier-sous-Écouves 61383
Saint-Ellier-les-Bois 61384
Saint-Evroult-de-Montfort 61385
Saint-Evroult-Notre-Dame-du-Bois 61386
Saint-Fraimbault 61387
Saint-Fulgent-des-Ormes 61388
Saint-Georges-d'Annebecq 61390
Saint-Georges-des-Groseillers 61391
Saint-Germain-d'Aunay 61392
Saint-Germain-de-Clairefeuille 61393
Saint-Germain-de-la-Coudre 61394
Saint-Germain-de-Martigny 61396
Saint-Germain-des-Grois 61395
Saint-Germain-du-Corbéis 61397
Saint-Germain-le-Vieux 61398
Saint-Gervais-des-Sablons 61399
Saint-Gervais-du-Perron 61400
Saint-Gilles-des-Marais 61401
Saint-Hilaire-de-Briouze 61402
Saint-Hilaire-la-Gérard 61403
Saint-Hilaire-le-Châtel 61404
