<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Hyèvre-Magny 25312
Hyèvre-Paroisse 25313
Indevillers 25314
Issans 25316
Jallerange 25317
Jougne 25318
L'Écouvotte 25215
L'Hôpital-du-Grosbois 25305
L'Hôpital-Saint-Lieffroy 25306
L'Isle-sur-le-Doubs 25315
La Bosse 25077
La Bretenière 25092
La Chaux 25139
La Chenalotte 25148
La Chevillotte 25152
La Cluse-et-Mijoux 25157
La Grange 25290
La Longeville 25347
La Planée 25459
La Prétière 25470
La Rivière-Drugeon 25493
La Sommette 25550
La Tour-de-Sçay 25566
La Vèze 25611
Labergement-du-Navois 25319
Labergement-Sainte-Marie 25320
Laire 25322
Laissey 25323
Lanans 25324
Landresse 25325
Lantenne-Vertière 25326
Lanthenans 25327
Larnod 25328
Laval-le-Prieuré 25329
Lavans-Quingey 25330
Lavans-Vuillafans 25331
Lavernay 25332
Laviron 25333
Le Barboux 25042
Le Bélieu 25050
Le Bizot 25062
Le Boulois 25081=25127
Le Crouzet 25179
Le Friolais 25260=25392
Le Gratteris 25297
Le Luhier 25351
Le Mémont 25373
Le Moutherot 25414
Le Puy 25474
Le Russey 25512
Le Vernoy 25608
Les Alliés 25012
Les Bréseux 25091
Les Combes 25160
Les Écorces 25213
Les Fins 25240
Les Fontenelles 25248
Les Fourgs 25254
Les Grangettes 25295
Les Gras 25296
Les Hôpitaux-Neufs 25307
Les Hôpitaux-Vieux 25308
Les Plains-et-Grands-Essarts 25458
Les Pontets 25464
Les Terres-de-Chaux 25138
Les Villedieu 25619
Levier 25334
Liebvillers 25335
Liesle 25336
Lièvremont 25337=25357
Lizine 25338
Lods 25339
Lombard 25340
Lomont-sur-Crête 25341
Longechaux 25342
Longemaison 25343
Longevelle-lès-Russey 25344
Longevelle-sur-Doubs 25345
Longeville 25346
Longevilles-Mont-d'Or 25348
Loray 25349
Lougres 25350
Luisans 25352=25288
Lusans 25353=25468
Luxiol 25354
Magny-Châtelard 25355
Maîche 25356
Maisières-Notre-Dame 25358=25537
