0;Guam;;;E144.8;N13.5;9;places/USA/flags/GU.gif
1;Guam;Socio;E144.786;N13.4886;12;
1;Guam;South Acres;E144.835;N13.5097;12;
1;Guam;South Tipalao;E144.648;N13.4147;12;
1;Guam;Spring Hill Subdivision;E144.885;N13.5408;12;
1;Guam;Sumay Housing Area;E144.649;N13.4342;12;
1;Guam;Sumay;E144.65;N13.4347;12;
1;Guam;Summer Place Subdivision;E144.824;N13.5117;12;
1;Guam;Tacpi;E144.792;N13.4344;12;
1;Guam;Takano Subdivision;E144.891;N13.5278;12;
1;Guam;Talofofo;E144.753;N13.3517;12;
1;Guam;Talona;E144.672;N13.2578;12;
1;Guam;Tamuning;E144.777;N13.4839;12;
1;Guam;Tepungan;E144.695;N13.4647;12;
1;Guam;Tijera;E144.661;N13.3983;12;
1;Guam;Toa;E144.674;N13.2558;12;
1;Guam;Toto;E144.779;N13.4653;12;
1;Guam;Tres Reyes;E144.769;N13.4006;12;
1;Guam;Tumalaglago;E144.661;N13.3964;12;
1;Guam;Tumon Chama;E144.748;N13.2803;12;
1;Guam;Tumon Heights;E144.785;N13.4953;12;
1;Guam;Tumon;E144.801;N13.5069;12;
1;Guam;Tutujan;E144.741;N13.4614;12;
1;Guam;Umatac;E144.659;N13.2981;12;
1;Guam;Ungaguan;E144.801;N13.4681;12;
1;Guam;Upper Kaiser;E144.841;N13.5261;12;
1;Guam;Utan;E144.764;N13.4672;12;
1;Guam;Wettengel Junction;E144.821;N13.5222;12;
1;Guam;Windward Hills Subdivision;E144.747;N13.3778;12;
1;Guam;Witek Junction;E144.77;N13.3856;12;
1;Guam;Yabai;E144.75;N13.285;12;
1;Guam;Yigo Estates;E144.898;N13.5467;12;
1;Guam;Yigo;E144.886;N13.5344;12;
1;Guam;Yona;E144.773;N13.4097;12;
1;Guam;Ypan;E144.767;N13.3464;12;
1;Guam;Ypaopao Estates;E144.86;N13.5217;12;
