2;Federated States of Micronesia;Chuuk;Mwan;E151.835;N7.43333;12;
2;Federated States of Micronesia;Chuuk;Mwanitiw;E151.702;N7.37861;12;
2;Federated States of Micronesia;Chuuk;Mwen;E151.833;N7.34083;12;
2;Federated States of Micronesia;Chuuk;Nafonong, Oror En;E151.631;N7.34111;12;
2;Federated States of Micronesia;Chuuk;Nambo, Oror En;E151.891;N7.36917;12;
2;Federated States of Micronesia;Chuuk;Nambo;E151.589;N7.385;12;
2;Federated States of Micronesia;Chuuk;Nechap;E151.861;N7.3775;12;
2;Federated States of Micronesia;Chuuk;Nechinam, Oror En;E151.858;N7.3725;12;
2;Federated States of Micronesia;Chuuk;Nechinapa, Oror En;E151.858;N7.37694;12;
2;Federated States of Micronesia;Chuuk;Nechocho;E151.623;N7.325;12;
2;Federated States of Micronesia;Chuuk;Neirenom;E151.588;N7.32389;12;
2;Federated States of Micronesia;Chuuk;Neiropat, Oror En;E151.566;N7.34111;12;
2;Federated States of Micronesia;Chuuk;Neiwe;E151.843;N7.41583;12;
2;Federated States of Micronesia;Chuuk;Nemeis, Oror En;E151.734;N7.38028;12;
2;Federated States of Micronesia;Chuuk;Nemop, Oror En;E151.603;N7.33028;12;
2;Federated States of Micronesia;Chuuk;Nemus, Oror En;E151.895;N7.37056;12;
2;Federated States of Micronesia;Chuuk;Nemwan, Ororen;E151.888;N7.44889;12;
2;Federated States of Micronesia;Chuuk;Nemwan;E151.889;N7.44861;12;
2;Federated States of Micronesia;Chuuk;Nengeon;E151.782;N7.34056;12;
2;Federated States of Micronesia;Chuuk;Nenor, Oror En;E151.606;N7.385;12;
2;Federated States of Micronesia;Chuuk;Nenunong, Oror En;E151.614;N7.37639;12;
2;Federated States of Micronesia;Chuuk;Nepanonong, Oror En;E151.583;N7.32444;12;
2;Federated States of Micronesia;Chuuk;Nepi, Oror En;E151.892;N7.38444;12;
2;Federated States of Micronesia;Chuuk;Nepinom, Oror En;E151.896;N7.44278;12;
2;Federated States of Micronesia;Chuuk;Nepinom, Ororen;E151.722;N7.37806;12;
2;Federated States of Micronesia;Chuuk;Nepitiw, Oror En;E151.659;N7.35944;12;
2;Federated States of Micronesia;Chuuk;Nepon, Oror En;E151.881;N7.2875;12;
2;Federated States of Micronesia;Chuuk;Nepon;E151.882;N7.28917;12;
2;Federated States of Micronesia;Chuuk;Nepononong;E151.886;N7.29917;12;
2;Federated States of Micronesia;Chuuk;Nepos;E151.602;N7.39083;12;
2;Federated States of Micronesia;Chuuk;Nepukos;E151.839;N7.44389;12;
2;Federated States of Micronesia;Chuuk;Nepung, Oror En;E151.835;N7.43528;12;
2;Federated States of Micronesia;Chuuk;Nesamo, Oror En;E151.822;N7.29667;12;
2;Federated States of Micronesia;Chuuk;Nesamo;E151.822;N7.29667;12;
2;Federated States of Micronesia;Chuuk;Nesarau, Oror En;E151.886;N7.30278;12;
2;Federated States of Micronesia;Chuuk;Nesarau;E151.886;N7.30278;12;
2;Federated States of Micronesia;Chuuk;Nesi, Oror En;E151.634;N7.35222;12;
2;Federated States of Micronesia;Chuuk;Netawanap, Oror En;E151.586;N7.34389;12;
2;Federated States of Micronesia;Chuuk;Netiw, Oror En;E151.632;N7.36028;12;
2;Federated States of Micronesia;Chuuk;Neton;E151.584;N7.34222;12;
2;Federated States of Micronesia;Chuuk;New, Ororen;E151.878;N7.48111;12;
2;Federated States of Micronesia;Chuuk;Newomas, Ororen;E151.704;N7.37389;12;
2;Federated States of Micronesia;Chuuk;Ngasano, Ororen;E151.86;N7.45722;12;
2;Federated States of Micronesia;Chuuk;Nieiruk, Oror En;E151.86;N7.38222;12;
2;Federated States of Micronesia;Chuuk;Nomur, Oror En;E151.877;N7.36167;12;
2;Federated States of Micronesia;Chuuk;Nukaf;E151.574;N7.37694;12;
2;Federated States of Micronesia;Chuuk;Nukan, Oror En;E151.874;N7.36083;12;
2;Federated States of Micronesia;Chuuk;Nukan;E151.765;N7.67667;12;
2;Federated States of Micronesia;Chuuk;Nukan;E151.818;N7.30194;12;
2;Federated States of Micronesia;Chuuk;Nukan;E151.873;N7.36222;12;
2;Federated States of Micronesia;Chuuk;Nukan;E151.879;N7.30722;12;
2;Federated States of Micronesia;Chuuk;Nukanap, Oror En;E151.887;N7.29889;12;
2;Federated States of Micronesia;Chuuk;Nukanap;E151.786;N7.35444;12;
2;Federated States of Micronesia;Chuuk;Nukanap;E151.873;N7.43861;12;
2;Federated States of Micronesia;Chuuk;Nukanap;E151.896;N7.37306;12;
2;Federated States of Micronesia;Chuuk;Nukonap, Oror En;E151.787;N7.35472;12;
2;Federated States of Micronesia;Chuuk;Nukuno;E151.87;N7.3625;12;
2;Federated States of Micronesia;Chuuk;Nukunumich;E151.608;N7.31778;12;
2;Federated States of Micronesia;Chuuk;Onongoch;E151.822;N7.34861;12;
2;Federated States of Micronesia;Chuuk;Opun;E151.782;N7.3525;12;
2;Federated States of Micronesia;Chuuk;Or;E151.896;N7.44444;12;
2;Federated States of Micronesia;Chuuk;Pachangan, Oror En;E151.634;N7.32528;12;
2;Federated States of Micronesia;Chuuk;Pata;E151.873;N7.38611;12;
2;Federated States of Micronesia;Chuuk;Penia;E151.705;N7.38917;12;
2;Federated States of Micronesia;Chuuk;Penia;E151.87;N7.45139;12;
2;Federated States of Micronesia;Chuuk;Peniata;E151.595;N7.39222;12;
2;Federated States of Micronesia;Chuuk;Peniemuan;E151.791;N7.36167;12;
2;Federated States of Micronesia;Chuuk;Peniemwan;E151.738;N7.3825;12;
2;Federated States of Micronesia;Chuuk;Penienuk;E151.893;N7.37056;12;
2;Federated States of Micronesia;Chuuk;Peniesene;E151.869;N7.4525;12;
2;Federated States of Micronesia;Chuuk;Penior, Oror En;E151.775;N7.33889;12;
2;Federated States of Micronesia;Chuuk;Penior;E151.888;N7.37556;12;
2;Federated States of Micronesia;Chuuk;Petiw;E151.872;N7.43806;12;
2;Federated States of Micronesia;Chuuk;Pieis;E151.839;N7.35944;12;
2;Federated States of Micronesia;Chuuk;Pisam, Oror En;E151.732;N7.37722;12;
2;Federated States of Micronesia;Chuuk;Pokochou;E151.574;N7.36917;12;
2;Federated States of Micronesia;Chuuk;Pwene;E151.863;N7.365;12;
2;Federated States of Micronesia;Chuuk;Relong;E149.197;N7.36194;12;
2;Federated States of Micronesia;Chuuk;Rewo;E149.193;N7.35333;12;
2;Federated States of Micronesia;Chuuk;Roro;E151.875;N7.3775;12;
2;Federated States of Micronesia;Chuuk;Rusin, Ororen;E151.709;N7.37556;12;
2;Federated States of Micronesia;Chuuk;Sannuk;E151.831;N7.345;12;
2;Federated States of Micronesia;Chuuk;Sanuk, Oror En;E151.881;N7.3075;12;
2;Federated States of Micronesia;Chuuk;Sanuk;E151.881;N7.30667;12;
2;Federated States of Micronesia;Chuuk;Sapitiu;E151.59;N7.38861;12;
2;Federated States of Micronesia;Chuuk;Sapoer;E151.847;N7.33583;12;
2;Federated States of Micronesia;Chuuk;Saponong;E151.879;N7.37111;12;
2;Federated States of Micronesia;Chuuk;Saporanong;E151.836;N7.33583;12;
2;Federated States of Micronesia;Chuuk;Sapota, Ororen;E151.585;N7.38139;12;
2;Federated States of Micronesia;Chuuk;Sapota;E151.583;N7.38111;12;
2;Federated States of Micronesia;Chuuk;Sapota;E151.849;N7.31444;12;
2;Federated States of Micronesia;Chuuk;Sapota;E151.885;N7.29694;12;
2;Federated States of Micronesia;Chuuk;Sapotiu;E151.844;N7.31194;12;
2;Federated States of Micronesia;Chuuk;Sapotiw, Oror En;E151.885;N7.29167;12;
2;Federated States of Micronesia;Chuuk;Sapotiw;E151.761;N7.67361;12;
2;Federated States of Micronesia;Chuuk;Sapotiw;E151.884;N7.29222;12;
2;Federated States of Micronesia;Chuuk;Sapoto, Oror En;E151.85;N7.31444;12;
2;Federated States of Micronesia;Chuuk;Sapou, Oror En;E151.876;N7.28417;12;
2;Federated States of Micronesia;Chuuk;Sapou;E151.567;N7.33222;12;
2;Federated States of Micronesia;Chuuk;Sapou;E151.876;N7.28528;12;
2;Federated States of Micronesia;Chuuk;Sapou;E151.889;N7.38611;12;
2;Federated States of Micronesia;Chuuk;Sapunap;E151.821;N7.29111;12;
2;Federated States of Micronesia;Chuuk;Sopuia, Oror En;E151.882;N7.35611;12;
2;Federated States of Micronesia;Chuuk;Sopuo;E151.837;N7.3125;12;
2;Federated States of Micronesia;Chuuk;Supun;E151.876;N7.3625;12;
2;Federated States of Micronesia;Chuuk;Tolokas;E151.604;N7.37444;12;
2;Federated States of Micronesia;Chuuk;Tonetai;E151.571;N7.37278;12;
2;Federated States of Micronesia;Chuuk;Tonof;E151.864;N7.38556;12;
2;Federated States of Micronesia;Chuuk;Tunuk;E151.72;N7.37833;12;
2;Federated States of Micronesia;Chuuk;Tunuk;E151.721;N7.37028;12;
2;Federated States of Micronesia;Chuuk;Tunuk;E151.861;N7.45556;12;
2;Federated States of Micronesia;Chuuk;Ununo, Oror En;E151.815;N7.36444;12;
2;Federated States of Micronesia;Chuuk;Ununo;E151.815;N7.36417;12;
2;Federated States of Micronesia;Chuuk;Ununou, Ororen;E151.85;N7.46389;12;
2;Federated States of Micronesia;Chuuk;Unupuker, Oror En;E151.898;N7.44694;12;
2;Federated States of Micronesia;Chuuk;Unuwa;E151.824;N7.29139;12;
2;Federated States of Micronesia;Chuuk;Upwein;E151.837;N7.33361;12;
2;Federated States of Micronesia;Chuuk;Upwein;E151.848;N7.33944;12;
2;Federated States of Micronesia;Chuuk;Wichap;E151.854;N7.42472;12;
2;Federated States of Micronesia;Chuuk;Wichukuno;E151.609;N7.35194;12;
2;Federated States of Micronesia;Chuuk;Winifei;E151.636;N7.32861;12;
2;Federated States of Micronesia;Chuuk;Winikei, Ororen;E151.878;N7.45167;12;
2;Federated States of Micronesia;Chuuk;Wininis;E151.848;N7.35583;12;
2;Federated States of Micronesia;Chuuk;Winipis;E151.88;N7.44278;12;
2;Federated States of Micronesia;Chuuk;Winisi, Ororen;E151.661;N7.40694;12;
2;Federated States of Micronesia;Chuuk;Winisi;E151.661;N7.4075;12;
2;Federated States of Micronesia;Chuuk;Wirong, Oror En;E151.597;N7.33778;12;
2;Federated States of Micronesia;Chuuk;Wisenif, Oror En;E151.623;N7.32278;12;
2;Federated States of Micronesia;Chuuk;Wonip;E151.607;N7.33167;12;
2;Federated States of Micronesia;Chuuk;Wonip;E151.731;N7.37667;12;
2;Federated States of Micronesia;Chuuk;Wonpiedi;E151.879;N7.38389;12;
2;Federated States of Micronesia;Kosrae;Finaunpes;E163.017;N5.36639;12;
2;Federated States of Micronesia;Kosrae;Finfoko;E162.992;N5.36722;12;
2;Federated States of Micronesia;Kosrae;Finfokoa;E163.019;N5.36333;12;
2;Federated States of Micronesia;Kosrae;Finfukul;E163.006;N5.36722;12;
2;Federated States of Micronesia;Kosrae;Finkol Te;E162.98;N5.27694;12;
2;Federated States of Micronesia;Kosrae;Finolof;E162.96;N5.34083;12;
2;Federated States of Micronesia;Kosrae;Finpukal;E163.019;N5.34167;12;
2;Federated States of Micronesia;Kosrae;Fomseng;E163.007;N5.33611;12;
2;Federated States of Micronesia;Kosrae;Inkoeya;E163.013;N5.36778;12;
2;Federated States of Micronesia;Kosrae;Insiaf;E162.917;N5.3125;12;
2;Federated States of Micronesia;Kosrae;Leap;E162.915;N5.30778;12;
2;Federated States of Micronesia;Kosrae;Lele;E163.032;N5;12;
2;Federated States of Micronesia;Kosrae;Malam;E163.025;N5.29139;12;
2;Federated States of Micronesia;Kosrae;Malem;E163.024;N5.28861;12;
2;Federated States of Micronesia;Kosrae;Malsu;E162.996;N5.36722;12;
2;Federated States of Micronesia;Kosrae;Mutunnenea;E163.014;N5.33944;12;
2;Federated States of Micronesia;Kosrae;Mutunte;E162.989;N5.36583;12;
2;Federated States of Micronesia;Kosrae;Niiwa;E163.029;N4.93194;12;
