"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;AUS;Queensland;Barrine;;145.6333333;-17.2;6;
2;AUS;Queensland;Barringha;;146.8333333;-19.55;6;
2;AUS;Queensland;Barringna;;146.8333333;-19.55;6;
2;AUS;Queensland;Bartle Frere;;145.8833333;-17.45;6;
2;AUS;Queensland;Batavia;;142.9666667;-13.1;6;
2;AUS;Queensland;Batcha;;144.9166667;-17.4666667;6;
2;AUS;Queensland;Bauple;;152.6166667;-25.8;6;
2;AUS;Queensland;Bayfield;;150.6666667;-22.8333333;6;
2;AUS;Queensland;Beachmere;;153.05;-27.1333333;6;
2;AUS;Queensland;Beaudesert;;152.9833333;-27.9833333;6;
2;AUS;Queensland;Bedourie;;139.4666667;-24.35;6;
2;AUS;Queensland;Beebo;;150.9666667;-28.7;6;
2;AUS;Queensland;Beecher;;151.2;-23.9;6;
2;AUS;Queensland;Beechmont;;153.2166667;-28.1;6;
2;AUS;Queensland;Beenleigh;;153.2;-27.7166667;6;
2;AUS;Queensland;Beerburrum;;152.9666667;-26.9666667;6;
2;AUS;Queensland;Beerwah;;152.9666667;-26.85;6;
2;AUS;Queensland;Belahville;;151.0166667;-26.7;6;
2;AUS;Queensland;Beldene;;148.6333333;-27.0666667;6;
2;AUS;Queensland;Belgian Gardens;;146.8;-19.25;6;
2;AUS;Queensland;Bell;;151.45;-26.9333333;6;
2;AUS;Queensland;Bellara;;153.1430556;-27.065;6;
2;AUS;Queensland;Bellenden Ker;;145.9166667;-17.2666667;6;
2;AUS;Queensland;Bellevue;;152.55;-27.3333333;6;
2;AUS;Queensland;Belmont;;153.1166667;-27.5;6;
2;AUS;Queensland;Bemerside;;146.2333333;-18.5666667;6;
2;AUS;Queensland;Benaraby;;151.3166667;-24.0166667;6;
2;AUS;Queensland;Benarkin;;152.1333333;-26.8833333;6;
2;AUS;Queensland;Benholme;;148.8166667;-21.1666667;6;
2;AUS;Queensland;Benobble;;153.1666667;-27.9833333;6;
2;AUS;Queensland;Benowa;;153.4;-28.0166667;6;
2;AUS;Queensland;Berajondo;;151.8333333;-24.6333333;6;
2;AUS;Queensland;Berat;;152.05;-28.05;6;
2;AUS;Queensland;Berner Creek;;145.9;-17.5666667;6;
2;AUS;Queensland;Berrembea;;152.05;-25.0333333;6;
2;AUS;Queensland;Beruna;;150.85;-26.6333333;6;
2;AUS;Queensland;Bethania Junction;;153.1666667;-27.6833333;6;
2;AUS;Queensland;Bethania;;153.1666667;-27.6833333;6;
2;AUS;Queensland;Betoota;;140.7333333;-25.7;6;
2;AUS;Queensland;Biboohra;;145.4166667;-16.9333333;6;
2;AUS;Queensland;Biddeston;;151.7166667;-27.5666667;6;
2;AUS;Queensland;Biddleston;;151.7166667;-27.5666667;6;
2;AUS;Queensland;Biggenden;;152.05;-25.5166667;6;
2;AUS;Queensland;Bigriggan;;152.7666667;-28.2166667;6;
2;AUS;Queensland;Bilinga;;153.5166667;-28.1666667;6;
2;AUS;Queensland;Biloela;;150.5;-24.4166667;6;
2;AUS;Queensland;Bilwon;;145.4666667;-16.8666667;6;
2;AUS;Queensland;Bilyana;;145.9166667;-18.1333333;6;
2;AUS;Queensland;Binbee;;147.9333333;-20.3;6;
2;AUS;Queensland;Bindango;;148.55;-36.5833333;6;
2;AUS;Queensland;Bindle;;148.75;-27.6833333;6;
2;AUS;Queensland;Bingera Plantation;;152.2;-24.9333333;6;
2;AUS;Queensland;Bingera;;152.2;-24.9333333;6;
2;AUS;Queensland;Bingham;;152.9166667;-25.4333333;6;
2;AUS;Queensland;Binjour;;151.45;-25.5166667;6;
2;AUS;Queensland;Birdsville;;139.3666667;-25.9;6;
2;AUS;Queensland;Birimgan;;147.45;-22.7;6;
2;AUS;Queensland;Birkalla;;145.95;-17.9166667;6;
2;AUS;Queensland;Birkdale;;153.2166667;-27.4833333;6;
2;AUS;Queensland;Birnam;;151.9166667;-27.4833333;6;
2;AUS;Queensland;Birru;;152.5833333;-27.6;6;
2;AUS;Queensland;Birthamba;;152.1833333;-24.9166667;6;
2;AUS;Queensland;Black Duck Creek;;152.1833333;-27.8333333;6;
2;AUS;Queensland;Black Plains;;151.7833333;-27.9;6;
2;AUS;Queensland;Blackall;;145.4666667;-24.4166667;6;
2;AUS;Queensland;Blackbutt;;152.1;-26.8833333;6;
2;AUS;Queensland;Blackmount;;152.5833333;-25.7;6;
2;AUS;Queensland;Blackridge;;147.6166667;-22.6333333;6;
2;AUS;Queensland;Blacks Beach;;149.2;-21.05;6;
2;AUS;Queensland;Blackwater;;148.8833333;-23.5833333;6;
2;AUS;Queensland;Blair Athol;;147.55;-22.7;6;
2;AUS;Queensland;Blanchview;;152.0333333;-27.5666667;6;
2;AUS;Queensland;Blantyre;;152.6833333;-27.9;6;
2;AUS;Queensland;Blaxland;;151.3166667;-27.2;6;
2;AUS;Queensland;Blenheim;;152.3166667;-27.6666667;6;
2;AUS;Queensland;Bli Bli;;153.0333333;-26.6166667;6;
2;AUS;Queensland;Bloomfield;;145.3333333;-15.9333333;6;
2;AUS;Queensland;Bloomsbury;;148.6;-20.7166667;6;
2;AUS;Queensland;Blue Mountain;;149.0333333;-21.5833333;6;
2;AUS;Queensland;Bluff;;149.0666667;-23.5833333;6;
2;AUS;Queensland;Blythdale;;148.9666667;-26.5833333;6;
2;AUS;Queensland;Bodalla;;152.2333333;-25.2166667;6;
2;AUS;Queensland;Bogandilla;;149.8;-26.5;6;
2;AUS;Queensland;Bogantungan;;147.3;-23.65;6;
2;AUS;Queensland;Boigu;;142.2166667;-9.2333333;6;
2;AUS;Queensland;Boldon;;148.9166667;-21.15;6;
2;AUS;Queensland;Bollon;;147.4833333;-28.0333333;6;
2;AUS;Queensland;Bombeeta;;145.9666667;-17.6833333;6;
2;AUS;Queensland;Bona Vista;;148.6666667;-20.4;6;
2;AUS;Queensland;Bondoola;;150.6833333;-23.1666667;6;
2;AUS;Queensland;Bongaree;;153.1586111;-27.0797222;6;
