"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;AUS;Western AUS;Botherling;;116.8;-31.1333333;6;
2;AUS;Western AUS;Boulder;;121.4833333;-30.7833333;6;
2;AUS;Western AUS;Boundain;;117.3166667;-32.95;6;
2;AUS;Western AUS;Bowelling;;116.5;-33.4166667;6;
2;AUS;Western AUS;Bowes;;114.6666667;-28.3833333;6;
2;AUS;Western AUS;Bowgada;;116.1666667;-29.3333333;6;
2;AUS;Western AUS;Boya;;116.05;-31.9333333;6;
2;AUS;Western AUS;Boyanup;;115.7333333;-33.4833333;6;
2;AUS;Western AUS;Boyup Brook;;116.4;-33.8333333;6;
2;AUS;Western AUS;Bramley;;115.1;-33.9;6;
2;AUS;Western AUS;Bridgetown;;116.1333333;-33.95;6;
2;AUS;Western AUS;Bringo;;114.8333333;-28.7333333;6;
2;AUS;Western AUS;Broad Arrow;;121.45;-30.3333333;6;
2;AUS;Western AUS;Bromus;;121.6333333;-32.5;6;
2;AUS;Western AUS;Brookdale;;115.95;-32.7;6;
2;AUS;Western AUS;Brookton;;117.0166667;-32.3666667;6;
2;AUS;Western AUS;Broome;;122.2333333;-17.9666667;6;
2;AUS;Western AUS;Broomehill;;117.65;-33.85;6;
2;AUS;Western AUS;Brown Hill;;121.5;-30.7666667;6;
2;AUS;Western AUS;Bruce Rock;;118.15;-31.8833333;6;
2;AUS;Western AUS;Brunswick Junction;;115.8333333;-33.25;6;
2;AUS;Western AUS;Buckingham;;116.3333333;-33.4;6;
2;AUS;Western AUS;Buckinghams Mill;;116.3333333;-33.4;6;
2;AUS;Western AUS;Bulading;;116.6166667;-33.3666667;6;
2;AUS;Western AUS;Bullabulling;;120.5333333;-31.0166667;6;
2;AUS;Western AUS;Bullaring;;117.7333333;-32.5;6;
2;AUS;Western AUS;Bullfinch;;119.1;-30.9833333;6;
2;AUS;Western AUS;Bullsbrook;;116;-31.6666667;6;
2;AUS;Western AUS;Bulong;;121.8;-30.75;6;
2;AUS;Western AUS;Bulyee;;117.5166667;-32.3666667;6;
2;AUS;Western AUS;Bunbury;;115.6333333;-33.3333333;6;
2;AUS;Western AUS;Bundera Bundera;;113.8;-22.4;6;
2;AUS;Western AUS;Bungulluping;;118.2333333;-31.9666667;6;
2;AUS;Western AUS;Buniche;;118.8166667;-33;6;
2;AUS;Western AUS;Bunjil;;116.3666667;-29.65;6;
2;AUS;Western AUS;Bunketch;;117.1666667;-30.4333333;6;
2;AUS;Western AUS;Buntine;;116.5666667;-29.9833333;6;
2;AUS;Western AUS;Burabadji;;116.8;-31.2166667;6;
2;AUS;Western AUS;Burakin;;117.1666667;-30.5166667;6;
2;AUS;Western AUS;Burbanks;;121.1333333;-31.05;6;
2;AUS;Western AUS;Burbidge;;119.5666667;-31.55;6;
2;AUS;Western AUS;Burekup;;115.8166667;-33.3;6;
2;AUS;Western AUS;Burges;;116.7833333;-31.8166667;6;
2;AUS;Western AUS;Burngup;;118.7;-33.0333333;6;
2;AUS;Western AUS;Burracoppin;;118.4833333;-31.3833333;6;
2;AUS;Western AUS;Burran Rock;;118;-31.25;6;
2;AUS;Western AUS;Burtville;;122.65;-28.7833333;6;
2;AUS;Western AUS;Busselton;;115.3333333;-33.65;6;
2;AUS;Western AUS;Byford;;116;-32.2166667;6;
2;AUS;Western AUS;Cadoux;;117.1333333;-30.7833333;6;
2;AUS;Western AUS;Caitup;;121.85;-33.75;6;
2;AUS;Western AUS;Calcarra;;116.4666667;-31.1333333;6;
2;AUS;Western AUS;Calingiri;;116.45;-31.1;6;
2;AUS;Western AUS;Campion;;118.4833333;-31.0333333;6;
2;AUS;Western AUS;Cancanning;;117.5666667;-33.1333333;6;
2;AUS;Western AUS;Canna;;115.85;-28.9;6;
2;AUS;Western AUS;Cannington;;115.95;-32.0166667;6;
2;AUS;Western AUS;Capel;;115.55;-33.5666667;6;
2;AUS;Western AUS;Capercup;;116.7333333;-33.5166667;6;
2;AUS;Western AUS;Carani;;116.4;-30.9833333;6;
2;AUS;Western AUS;Carbarup;;117.7;-34.5166667;6;
2;AUS;Western AUS;Carbine;;120.9;-30.4833333;6;
2;AUS;Western AUS;Carbunup;;115.1833333;-33.7;6;
2;AUS;Western AUS;Cardup;;116;-32.25;6;
2;AUS;Western AUS;Carilla;;116.1333333;-32.0333333;6;
2;AUS;Western AUS;Carinyah;;116.1666667;-32.0833333;6;
2;AUS;Western AUS;Carlecatup;;117.3333333;-33.8333333;6;
2;AUS;Western AUS;Carmel;;116.1;-32.0166667;6;
2;AUS;Western AUS;Carnage;;120.9333333;-30.3833333;6;
2;AUS;Western AUS;Carnamah;;115.8833333;-29.7;6;
2;AUS;Western AUS;Carnarvon;;113.6333333;-24.8666667;6;
2;AUS;Western AUS;Caroling;;117.5;-32.0666667;6;
2;AUS;Western AUS;Caron;;116.3;-29.5833333;6;
2;AUS;Western AUS;Carrabin;;118.6833333;-31.3833333;6;
2;AUS;Western AUS;Carrolup;;117.4333333;-33.75;6;
2;AUS;Western AUS;Cartacup;;119.8166667;-33.5666667;6;
2;AUS;Western AUS;Cartmeticup;;117.5333333;-33.4666667;6;
2;AUS;Western AUS;Caversham;;115.9666667;-31.8833333;6;
2;AUS;Western AUS;Celebration;;121.5833333;-31.0166667;6;
2;AUS;Western AUS;Cervantes;;115.0638889;-30.5005556;6;
2;AUS;Western AUS;Chadoora;;116.2166667;-32.7666667;6;
2;AUS;Western AUS;Chedaring;;116.3666667;-31.7833333;6;
2;AUS;Western AUS;Cheritons Find;;119.6333333;-31.8166667;6;
2;AUS;Western AUS;Cherry Tree Pool;;117.2833333;-33.75;6;
2;AUS;Western AUS;Chillilup;;118.6166667;-34.3333333;6;
2;AUS;Western AUS;Chinocup;;118.3833333;-33.5333333;6;
2;AUS;Western AUS;Chinokup;;118.3833333;-33.5333333;6;
2;AUS;Western AUS;Chittering;;116.1;-31.4833333;6;
2;AUS;Western AUS;Chorkerup;;117.7;-34.8166667;6;
2;AUS;Western AUS;Chowerup;;116.6666667;-34.1;6;
2;AUS;Western AUS;Circle Valley;;121.6833333;-33.0833333;6;
2;AUS;Western AUS;Clackline;;116.5333333;-31.7333333;6;
2;AUS;Western AUS;Clampton;;119.1;-29.9333333;6;
2;AUS;Western AUS;Claremont;;115.7861111;-31.9875;6;
2;AUS;Western AUS;Cleary;;117.6333333;-30.4333333;6;
2;AUS;Western AUS;Coates;;116.4;-31.75;6;
2;AUS;Western AUS;Collanilling;;117.5;-33.2666667;6;
2;AUS;Western AUS;Collgar;;118.3666667;-31.55;6;
2;AUS;Western AUS;Collie Burn;;116.1833333;-33.4;6;
2;AUS;Western AUS;Collie Cardiff;;116.2;-33.4333333;6;
2;AUS;Western AUS;Collie;;116.15;-33.3666667;6;
2;AUS;Western AUS;Comet Vale;;121.1166667;-29.95;6;
2;AUS;Western AUS;Comet;;119.7166667;-21.2333333;6;
2;AUS;Western AUS;Condon;;119.3666667;-20.0166667;6;
2;AUS;Western AUS;Congelin;;116.8833333;-32.8333333;6;
2;AUS;Western AUS;Contine;;116.9666667;-32.8666667;6;
2;AUS;Western AUS;Coogee;;115.7666667;-32.1166667;6;
2;AUS;Western AUS;Cooglegong;;119.4;-21.5;6;
2;AUS;Western AUS;Cookernup;;115.8833333;-32.9833333;6;
2;AUS;Western AUS;Coolboogin;;117.5166667;-30.95;6;
2;AUS;Western AUS;Coolgardie;;121.1666667;-30.95;6;
2;AUS;Western AUS;Coolimba;;114.9958333;-29.8583333;6;
2;AUS;Western AUS;Coolup;;115.8666667;-32.75;6;
2;AUS;Western AUS;Coomberdale;;116.0333333;-30.4666667;6;
2;AUS;Western AUS;Coonana;;123.1166667;-31.0166667;6;
2;AUS;Western AUS;Coondle;;116.4333333;-31.4833333;6;
2;AUS;Western AUS;Coorow;;116.0166667;-29.8833333;6;
2;AUS;Western AUS;Cordering;;116.6666667;-33.5166667;6;
2;AUS;Western AUS;Corinthian;;119.2166667;-31.1166667;6;
2;AUS;Western AUS;Corrigin;;117.8666667;-32.35;6;
2;AUS;Western AUS;Cosmo Newberry;;122.9;-28;6;
2;AUS;Western AUS;Cosmo Newbery;;122.9;-28;6;
2;AUS;Western AUS;Cossack;;117.2;-20.7;6;
2;AUS;Western AUS;Cottesloe;;115.7666667;-32;6;
2;AUS;Western AUS;Courtlea;;116.65;-30.3166667;6;
2;AUS;Western AUS;Cowaramup;;115.0833333;-33.8666667;6;
2;AUS;Western AUS;Cowcowing;;117.45;-30.9833333;6;
2;AUS;Western AUS;Cowerdup;;119.9666667;-33.8166667;6;
2;AUS;Western AUS;Cramphorne;;118.55;-31.8333333;6;
2;AUS;Western AUS;Crampthorne;;118.55;-31.8333333;6;
2;AUS;Western AUS;Cranbrook;;117.3333333;-34.25;6;
2;AUS;Western AUS;Crawley-Nedlands;;115.8;-31.9833333;6;
2;AUS;Western AUS;Crossman;;116.6;-32.7833333;6;
2;AUS;Western AUS;Cuballing;;117.1833333;-32.8333333;6;
2;AUS;Western AUS;Cuddingwarra;;117.7833333;-27.35;6;
2;AUS;Western AUS;Cue;;117.9;-27.4166667;6;
2;AUS;Western AUS;Culbin;;116.8333333;-33.1666667;6;
2;AUS;Western AUS;Culham;;116.4666667;-31.4166667;6;
2;AUS;Western AUS;Cunderdin North;;117.2166667;-31.5333333;6;
2;AUS;Western AUS;Cunderdin;;117.25;-31.65;6;
2;AUS;Western AUS;Cunjardine;;116.7833333;-31.4666667;6;
2;AUS;Western AUS;Curara;;115.5666667;-28.5833333;6;
2;AUS;Western AUS;Cuthbert;;117.7983333;-35.0158333;6;
2;AUS;Western AUS;Daadenning Creek;;117.7833333;-31.7666667;6;
2;AUS;Western AUS;Dale Bridge;;116.8166667;-32.0833333;6;
2;AUS;Western AUS;Dalkeith;;115.7958333;-31.9958333;6;
2;AUS;Western AUS;Dalton Mining Centre;;119.2333333;-21.4833333;6;
2;AUS;Western AUS;Dalton;;119.2333333;-21.4833333;6;
2;AUS;Western AUS;Dalwallinu;;116.6666667;-30.2833333;6;
2;AUS;Western AUS;Damboring;;116.7;-30.5166667;6;
2;AUS;Western AUS;Dampier;;116.7;-20.6666667;6;
2;AUS;Western AUS;Dandaragan;;115.7;-30.6666667;6;
2;AUS;Western AUS;Dandarragan;;115.7;-30.6666667;6;
2;AUS;Western AUS;Dangin;;117.3166667;-32.05;6;
2;AUS;Western AUS;Daniell;;121.6166667;-32.6;6;
2;AUS;Western AUS;Dardadine;;116.8333333;-33.2333333;6;
