1;BEL;Samart;;;E4.5334510000;N50.1776300000;9;
1;BEL;Romedenne;;;E4.6975300000;N50.1722970000;9;
1;BEL;Roly;;;E4.5394750000;N50.1354100000;9;
1;BEL;Philippeville;;;E4.5450760000;N50.1959600000;9;
1;BEL;Omezée;;;E4.6989400000;N50.1933780000;9;
1;BEL;Neuville (Philippeville);;;E4.5261180000;N50.1749440000;9;
1;BEL;Merlemont;;;E4.6069360000;N50.1730940000;9;
1;BEL;Jamiolle;;;E4.5077450000;N50.2124270000;9;
1;BEL;Jamagne;;;E4.5314060000;N50.2182090000;9;
1;BEL;Franchimont;;;E4.6406820000;N50.1904420000;9;
1;BEL;Fagnolle;;;E4.5699780000;N50.1051440000;9;
1;BEL;Sovet;;;E5.0352070000;N50.2955560000;9;
1;BEL;Serinchamps;;;E5.2344470000;N50.2317960000;9;
1;BEL;Pessoux;;;E5.1709300000;N50.2831200000;9;
1;BEL;Leignon;;;E5.1097200000;N50.2699200000;9;
1;BEL;Haversin;;;E5.1957760000;N50.2491620000;9;
1;BEL;Conneux;;;E5.0593660000;N50.2477880000;9;
1;BEL;Ciney;;;E5.1003880000;N50.2963720000;9;
1;BEL;Chevetogne;;;E5.1196680000;N50.2229560000;9;
1;BEL;Braibant;;;E5.0621490000;N50.3128890000;9;
1;BEL;Achêne;;;E5.0446250000;N50.2666160000;9;
1;BEL;Wavreille;;;E5.2484130000;N50.1210660000;9;
1;BEL;Villers-sur-Lesse;;;E5.1130060000;N50.1519740000;9;
1;BEL;Rochefort;;;E5.2222340000;N50.1615790000;9;
1;BEL;Mont-Gauthier;;;E5.1212390000;N50.2092960000;9;
1;BEL;Lessive;;;E5.1487730000;N50.1397560000;9;
1;BEL;Lavaux-Sainte-Anne;;;E5.0932180000;N50.1147160000;9;
1;BEL;Jemelle;;;E5.2611050000;N50.1617890000;9;
1;BEL;Han-sur-Lesse;;;E5.1872830000;N50.1255150000;9;
1;BEL;Eprave;;;E5.1618970000;N50.1410340000;9;
1;BEL;Buissonville;;;E5.2019020000;N50.2163740000;9;
1;BEL;Ave-et-Auffe;;;E5.1429580000;N50.1085680000;9;
1;BEL;Willerzie;;;E4.8479060000;N49.9869940000;9;
1;BEL;Vencimont;;;E4.9216610000;N50.0320440000;9;
1;BEL;Sart-Custinne;;;E4.9167130000;N50.0014090000;9;
1;BEL;Rienne;;;E4.8885930000;N49.9928800000;9;
1;BEL;Patignies;;;E4.9512730000;N50.0003490000;9;
1;BEL;Malvoisin;;;E4.9601700000;N50.0117440000;9;
1;BEL;Louette-Saint-Pierre;;;E4.9274000000;N49.9605610000;9;
1;BEL;Louette-Saint-Denis;;;E4.9570780000;N49.9584820000;9;
1;BEL;Houdremont;;;E4.9442420000;N49.9415140000;9;
1;BEL;Gedinne;;;E4.9368540000;N49.9812970000;9;
1;BEL;Bourseigne-Vieille;;;E4.8707930000;N50.0225070000;9;
1;BEL;Bourseigne-Neuve;;;E4.8548730000;N50.0248950000;9;
1;BEL;Froidfontaine;;;E4.9996450000;N50.0604650000;9;
1;BEL;Pondrôme;;;E5.0085670000;N50.0995020000;9;
1;BEL;Martouzin-Neuville;;;E5.0055680000;N50.1173600000;9;
1;BEL;Focant;;;E5.0377820000;N50.1318120000;9;
1;BEL;Wiesme;;;E4.9779190000;N50.1485330000;9;
