Level;Country;Longitude;Latitude;ZoomLevel;Icon
0;KEN;E38;N1;4;places/flags/KEN.gif
0;KGZ;E75;N41;4;places/flags/KGZ.gif
0;KHM;E105;N13;4;places/flags/KHM.gif
0;KIR;E172;S2;4;places/flags/KIR.gif
0;KNA;W62.75;N17.3333;6;places/flags/KNA.gif
0;KOR;E127.5;N37;4;places/flags/KOR.gif
0;KWT;E45.75;N29.5;4;places/flags/KWT.gif
0;LAO;E105;N18;4;places/flags/LAO.gif
0;LBN;E35.8333;N33.8333;4;places/flags/LBN.gif
0;LBR;W9.5;N6.5;4;places/flags/LBR.gif
0;LBY;E17;N25;4;places/flags/LBY.gif
0;LCA;W61.1333;N13.8833;5;places/flags/LCA.gif
0;LIE;E9.5333;N47.1667;4;places/flags/LIE.gif
0;LKA;E81;N7;4;places/flags/LKA.gif
0;LSO;E28.5;S29.5;4;places/flags/LSO.gif
0;LTU;E24;N56;4;places/flags/LTU.gif
0;LUX;E6.1667;N49.75;4;places/flags/LUX.gif
0;LVA;E25;N57;4;places/flags/LVA.gif
0;MAC;E113.55;N22.1667;4;places/flags/MAC.gif
0;MAR;W5;N32;4;places/flags/MAR.gif
0;MCO;E7.4;N43.7333;5;places/flags/MCO.gif
0;MDA;E29;N47;4;places/flags/MDA.gif
0;MDG;E47;S20;4;places/flags/MDG.gif
0;MDV;E73;N3.25;5;places/flags/MDV.gif
0;MEX;W102;N23;4;places/flags/MEX.gif
0;MHL;E168;N9;5;places/flags/MHL.gif
0;MKD;E22;N41.8333;5;places/flags/MKD.gif
0;MLI;W4;N17;4;places/flags/MLI.gif
0;MLT;E14.5833;N35.8333;5;places/flags/MLT.gif
0;MMR;E98;N22;4;places/flags/MMR.gif
0;MNG;E105;N46;4;places/flags/MNG.gif
0;MNP;E145.75;N15.2;5;places/flags/MNP.gif
0;MOZ;E35;S18.25;4;places/flags/MOZ.gif
0;MRT;W12;N20;4;places/flags/MRT.gif
0;MSR;W62.2;N16.75;6;places/flags/MSR.gif
0;MTQ;W61;N14.6667;6;places/flags/MTQ.gif
0;MUS;E57.55;S20.2833;5;places/flags/MUS.gif
0;MWI;E34;S13.5;4;places/flags/MWI.gif
0;MYS;E112.5;N2.5;4;places/flags/MYS.gif
0;MYT;E45.1667;S12.8333;5;places/flags/MYT.gif
0;NAM;E17;S22;4;places/flags/NAM.gif
0;NCL;E165.5;S21.5;5;places/flags/NCL.gif
0;NER;E8;N16;4;places/flags/NER.gif
0;NFK;E167.95;S29.0333;5;places/flags/NFK.gif
0;NGA;E8;N10;4;places/flags/NGA.gif
